source_name,source_sedol,ticker,company,mapping_source
BHP GROUP LTD,6144690,BHP.AX,BHP GROUP LTD,openfigi
COMMONW BK AUSTR,6215035,CBA.AX,COMMONWEALTH BANK OF AUSTRAL,openfigi
WESTPAC BANKING,6076146,WBC.AX,WESTPAC BANKING CORP,openfigi
NATL AUST BANK,6624608,NAB.AX,NATIONAL AUSTRALIA BANK LTD,openfigi
ANZ GROUP HOLDIN,6065586,ANZ.AX,ANZ GROUP HOLDINGS LTD,openfigi
WESFARMERS LTD,6948836,WES.AX,WESFARMERS LTD,openfigi
MACQUARIE GROUP,B28YTC2,MQG.AX,MACQUARIE GROUP LTD,openfigi
RIO TINTO LTD,6220103,RIO.AX,RIO TINTO LTD,openfigi
CSL LTD,6185495,CSL.AX,CSL LTD,openfigi
WOODSIDE ENERGY,BMGT167,WDS.AX,WOODSIDE ENERGY GROUP LTD,openfigi
GOODMAN GROUP,B03FYZ4,GMG.AX,GOODMAN GROUP,openfigi
TELSTRA GROUP LT,6087289,TLS.AX,TELSTRA GROUP LTD,openfigi
WOOLWORTHS GROUP,6981239,WOW.AX,WOOLWORTHS GROUP LTD,openfigi
TRANSURBAN GROUP,6200882,TCL.AX,TRANSURBAN GROUP,openfigi
QBE INSURANCE,6715740,QBE.AX,QBE INSURANCE GROUP LTD,openfigi
ARISTOCRAT LEISU,6253983,ALL.AX,ARISTOCRAT LEISURE LTD,openfigi
COLES GROUP LTD,BYWR0T5,COL.AX,COLES GROUP LTD,openfigi
NORTHERN STAR RE,6717456,NST.AX,NORTHERN STAR RESOURCES LTD,openfigi
FORTESCUE LTD,6086253,FMG.AX,FORTESCUE LTD,openfigi
BRAMBLES LTD,B1FJ0C0,BXB.AX,BRAMBLES LTD,openfigi
EVOLUTION MINING,B3X0F91,EVN.AX,EVOLUTION MINING LTD,openfigi
SANTOS LTD,6776703,STO.AX,SANTOS LTD,openfigi
COMPUTERSHARE LT,6180412,CPU.AX,COMPUTERSHARE LTD,openfigi
SOUTH32 LTD,BWSW5D9,S32.AX,SOUTH32 LTD,openfigi
SUNCORP GROUP LT,6585084,SUN.AX,SUNCORP GROUP LTD,openfigi
SCENTRE GROUP,BLZH0Z7,SCG.AX,SCENTRE GROUP,openfigi
INSURANCE AUSTRA,6271026,IAG.AX,INSURANCE AUSTRALIA GROUP,openfigi
ORIGIN ENERGY,6214861,ORG.AX,ORIGIN ENERGY LTD,openfigi
WASHINGTON H SOU,6821807,SOL.AX,WASHINGTON H SOUL PATTINSON,openfigi
QANTAS AIRWAYS,6710347,QAN.AX,QANTAS AIRWAYS LTD,openfigi
BLUESCOPE STEEL,6533232,BSL.AX,BLUESCOPE STEEL LTD,openfigi
SIGMA HEALTHCARE,BF13K02,SIG.AX,SIGMA HEALTHCARE LTD,openfigi
MEDIBANK PRIVATE,BRTNNQ5,MPL.AX,MEDIBANK PRIVATE LTD,openfigi
LYNAS RARE EARTH,6121176,LYC.AX,LYNAS RARE EARTHS LTD,openfigi
PLS GROUP LTD,B2368L5,PLS.AX,PLS GROUP LTD,openfigi
XERO LTD,B8P4LP4,XRO.AX,XERO LTD,openfigi
APA GROUP,6247306,APA.AX,APA GROUP,openfigi
LOTTERY CORP LTD,BNRQW72,TLC.AX,LOTTERY CORP LTD/THE,openfigi
NEXTDC LTD,B5LMKP4,NXT.AX,NEXTDC LTD,openfigi
ALS LTD,B86SZR5,ALQ.AX,ALS LTD,openfigi
