ticker,company
BHP.AX,BHP GROUP LTD
CBA.AX,COMMONWEALTH BANK OF AUSTRAL
NAB.AX,NATIONAL AUSTRALIA BANK LTD
WBC.AX,WESTPAC BANKING CORP
ANZ.AX,ANZ GROUP HOLDINGS LTD
WES.AX,WESFARMERS LTD
MQG.AX,MACQUARIE GROUP LTD
CSL.AX,CSL LTD
WDS.AX,WOODSIDE ENERGY GROUP LTD
RIO.AX,RIO TINTO LTD
GMG.AX,GOODMAN GROUP
TLS.AX,TELSTRA GROUP LTD
WOW.AX,WOOLWORTHS GROUP LTD
TCL.AX,TRANSURBAN GROUP
ALL.AX,ARISTOCRAT LEISURE LTD
QBE.AX,QBE INSURANCE GROUP LTD
NST.AX,NORTHERN STAR RESOURCES LTD
COL.AX,COLES GROUP LTD
FMG.AX,FORTESCUE LTD
EVN.AX,EVOLUTION MINING LTD
BXB.AX,BRAMBLES LTD
STO.AX,SANTOS LTD
S32.AX,SOUTH32 LTD
CPU.AX,COMPUTERSHARE LTD
SUN.AX,SUNCORP GROUP LTD
ORG.AX,ORIGIN ENERGY LTD
SCG.AX,SCENTRE GROUP
IAG.AX,INSURANCE AUSTRALIA GROUP
PLS.AX,PLS GROUP LTD
SOL.AX,WASHINGTON H SOUL PATTINSON
SIG.AX,SIGMA HEALTHCARE LTD
LYC.AX,LYNAS RARE EARTHS LTD
QAN.AX,QANTAS AIRWAYS LTD
BSL.AX,BLUESCOPE STEEL LTD
MPL.AX,MEDIBANK PRIVATE LTD
XRO.AX,XERO LTD
NXT.AX,NEXTDC LTD
APA.AX,APA GROUP
TLC.AX,LOTTERY CORP LTD/THE
ASX.AX,ASX LTD
MIN.AX,MINERAL RESOURCES LTD
ALQ.AX,ALS LTD
SHL.AX,SONIC HEALTHCARE LTD
CHC.AX,CHARTER HALL GROUP
CAR.AX,CAR GROUP LTD
VCX.AX,VICINITY CENTRES
ORI.AX,ORICA LTD
TNE.AX,TECHNOLOGY ONE LTD
SGP.AX,STOCKLAND
SFR.AX,SANDFIRE RESOURCES LTD
GPT.AX,GPT GROUP
ALD.AX,AMPOL LTD
PME.AX,PRO MEDICUS LTD
RHC.AX,RAMSAY HEALTH CARE LTD
COH.AX,COCHLEAR LTD
REA.AX,REA GROUP LTD
GMD.AX,GENESIS MINERALS LTD
WTC.AX,WISETECH GLOBAL LTD
SGH.AX,SGH LTD
PRU.AX,PERSEUS MINING LTD
JBH.AX,JB HI-FI LTD
CMM.AX,CAPRICORN METALS LTD
RMS.AX,RAMELIUS RESOURCES LTD
MGR.AX,MIRVAC GROUP
BEN.AX,BENDIGO AND ADELAIDE BANK
AZJ.AX,AURIZON HOLDINGS LTD
HUB.AX,HUB24 LTD
VAU.AX,VAULT MINERALS LTD
GGP.AX,GREATLAND RESOURCES LTD
DXS.AX,DEXUS/AU
SDF.AX,STEADFAST GROUP LTD
WHC.AX,WHITEHAVEN COAL LTD
DNL.AX,DYNO NOBEL LTD
RRL.AX,REGIS RESOURCES LTD
CWY.AX,CLEANAWAY WASTE MANAGEMENT L
AMP.AX,AMP LTD
AGL.AX,AGL ENERGY LTD
WGX.AX,WESTGOLD RESOURCES LTD
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI
IGO.AX,IGO LTD
MP1.AX,MEGAPORT LTD
SEK.AX,SEEK LTD
WOR.AX,WORLEY LTD
ANN.AX,ANSELL LTD
DOW.AX,DOWNER EDI LTD
CGF.AX,CHALLENGER LTD
CDA.AX,CODAN LTD
A2M.AX,A2 MILK CO LTD
TLX.AX,TELIX PHARMACEUTICALS LTD
VNT.AX,VENTIA SERVICES GROUP PTY LT
PDN.AX,PALADIN ENERGY LTD
REH.AX,REECE LTD
BOQ.AX,BANK OF QUEENSLAND LTD
SGM.AX,SIMS LTD
TWE.AX,TREASURY WINE ESTATES LTD
APE.AX,EAGERS AUTOMOTIVE LTD
NHF.AX,NIB HOLDINGS LTD
EMR.AX,EMERALD RESOURCES NL
AUB.AX,AUB GROUP LTD
BRG.AX,BREVILLE GROUP LTD
CNU.AX,CHORUS LTD
MTS.AX,METCASH LTD
PDI.AX,PREDICTIVE DISCOVERY LTD
NWH.AX,NRW HOLDINGS LTD
ZIP.AX,ZIP CO LTD
ILU.AX,ILUKA RESOURCES LTD
MND.AX,MONADELPHOUS GROUP LTD
NWL.AX,NETWEALTH GROUP LTD
VEA.AX,VIVA ENERGY GROUP LTD
PNI.AX,PINNACLE INVESTMENT MANAGEME
RGN.AX,REGION GROUP
LTR.AX,LIONTOWN LTD
NHC.AX,NEW HOPE CORP LTD
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE
RWC.AX,RELIANCE WORLDWIDE CORP LTD
NEU.AX,NEUREN PHARMACEUTICALS LTD
CLW.AX,CHARTER HALL LONG WALE REIT
TPG.AX,TPG TELECOM LTD
HVN.AX,HARVEY NORMAN HOLDINGS LTD
CQR.AX,CHARTER HALL RETAIL REIT
RSG.AX,RESOLUTE MINING LTD
ALX.AX,ATLAS ARTERIA
HDN.AX,HOMECO DAILY NEEDS REIT
BGL.AX,BELLEVUE GOLD LTD
YAL.AX,YANCOAL AUSTRALIA LTD
BWP.AX,BWP PROPERTY GROUP LTD
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L
PPT.AX,PERPETUAL LTD
SRG.AX,SRG GLOBAL LTD
PRN.AX,PERENTI LTD
IMD.AX,IMDEX LTD
OBM.AX,ORA BANDA MINING LTD
CIP.AX,CENTURIA INDUSTRIAL REIT
SUL.AX,SUPER RETAIL GROUP LTD
DRR.AX,DETERRA ROYALTIES LTD
TAH.AX,TABCORP HOLDINGS LTD
4DX.AX,4DMEDICAL LTD
MSB.AX,MESOBLAST LTD
LLC.AX,LENDLEASE GROUP
NIC.AX,NICKEL INDUSTRIES LTD
MFG.AX,MAGELLAN FINANCIAL GROUP LTD
ORA.AX,ORORA LTD
CYL.AX,CATALYST METALS LTD
DDR.AX,DICKER DATA LTD
SLC.AX,SUPERLOOP LTD
LOV.AX,LOVISA HOLDINGS LTD
