rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,SGM.AX,SIMS LTD,22.97,4438561792,-11.04,-13.03,-10.34,4.44,1D <= -7.0%; 5D <= -12.0%,,"ASX 200 Stocks in Red: Sims Limited (ASX:SGM) and Bendigo Bank (ASX:BEN) Slide on FY26 Updates - Kalkine | Sims (ASX:SGM) Shares Fall 12.63% Despite FY26 Earnings Surge - Kalkine | Sims (ASX:SGM): Can Recycling Resilience Put This Metal & Mining Stock in Focus? - kalkinemedia.com | Sims Limited (ASX:SGM) Share Price Falls as Investors Assess FY26 Earnings Outlook - Kalkine | Up 134% since October, why is this $6 billion ASX 200 stock leaping higher again today? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,4.3,1187461120,-9.09,1.18,23.56,4.97,1D <= -7.0%,,"BRAZILIAN RARE EARTHS LTD Share Price - BRE, RNS News, Articles, Quotes, & Charts (ASX:BRE) - Proactive financial news | Brazilian Rare Earths (ASX:BRE) Share Price Falls 8% Today, Company Withdraws Production and Financial Forecasts - Kalkine | Brazilian Rare Earths Shares Halted, Up 26% In Two Weeks: What Next? - thebull.com.au | 3 ASX All Ord Stocks That Dropped Today: SKS Technologies, Brazilian Rare Earths and Altair Minerals - Kalkine | Brazilian Rare Earths share price rises as Alurion IPO raises $50 million - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,MAH.AX,MACMAHON HOLDINGS LTD,0.9,1950262016,-8.59,-7.65,-5.73,3.02,1D <= -7.0%,,Macmahon Holdings Limited (ASX:MAH) Share Price Falls as Investors Assess FY26 Results and Growth Outlook - Kalkine | Macmahon Holdings (ASX:MAH) Shares Fall As Record Profit Meets Margin Questions - simplywall.st | Insights: Macmahon Holdings Limited (ASX:MAH) - smallcaps.com.au | What Puts Macmahon Holdings (ASX:MAH) in the Spotlight? - kalkinemedia.com | Macmahon Holdings Limited (ASX: MAH): Breakout Above Inverse Head & Shoulders Signals Continuation of the Primary Uptrend - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,IRE.AX,IRESS LTD,6.4,1195452672,-8.44,-16.12,-5.04,3.11,1D <= -7.0%; 5D <= -12.0%,,Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Can Iress (ASX:IRE) Turn Its Margin Reset Into Lasting Momentum? - kalkinemedia.com | Why Iress Limited (ASX:IRE) Could Be Worth Watching - simplywall.st | Iress (ASX:IRE): Should You Consider Stock For Portfolio? - Kalkine | What Makes Iress (ASX:IRE) Stand Out in Midcap? - kalkinemedia.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,IPX.AX,IPERIONX LTD,3.28,1187799808,-7.34,-11.83,1.55,0.62,1D <= -7.0%,,IperionX Ltd (ASX: IPX) Share Price Rises Today – Here’s Why - Kalkine | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st | IperionX (ASX:IPX) After Camden Deal And Defense Award Is The Valuation Too Rich - Yahoo Finance | Iperionx (ASX:IPX) Retreats: Critical Minerals Company Pulls Back - Kalkine | IperionX (ASX:IPX) Shares Valuation Check After Strong Long Term Returns And Premium P/B Multiple - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,LTR.AX,LIONTOWN LTD,1.21,3830828800,-7.31,2.12,-0.41,1.2,1D <= -7.0%,,Liontown Ltd (ASX:LTR): Worth Watching After Today Rise? - Kalkine | Down 43%! What on earth happened with Liontown shares in July? - The Motley Fool Australia | Liontown Limited (ASX:LTR) - intelligentinvestor.com.au | Liontown Limited (ASX: LTR) Sinks 5.3% as More Than 30 Million Shares Change Hands - Kalkine | 3 ASX 200 shares tipped to grow 45% to 75% over the next 12 months - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,HUB.AX,HUB24 LTD,79.94,6536995840,-7.25,-11.07,-1.73,4.0,1D <= -7.0%,,"HUB24 Limited (ASX:HUB) Share Price Falls as Investors Assess Growth Expectations and FY26 Outlook - Kalkine | What Is Putting HUB24 (ASX:HUB) and Xero (ASX:XRO) in Focus? - kalkinemedia.com | HUB24 Limited's (ASX:HUB) latest 10.0% decline adds to one-year losses, institutional investors may consider drastic measures - simplywall.st | These ASX 200 stocks are tipped to rise up to 71% – Expert - The Motley Fool Australia | 3 overvalued ASX shares going into earnings - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,WBT.AX,WEEBIT NANO LTD,4.34,1043456640,-2.69,-2.25,-21.23,0.48,20D <= -20.0%,,"Weebit Nano (ASX:WBT) Slides Amid Semiconductor Sector Volatility - Kalkine | Progress In ReRAM Commercialisation And Institutional Interest Might Change The Case For Investing In Weebit Nano (ASX:WBT) - simplywall.st | Up 149% in a year, why this surging ASX 300 tech stock is still a good buy today - The Motley Fool Australia | Stock of the day: Weebit Nano - ig.com | Weebit Nano (ASX:WBT): Why Is Stock Plunging Today? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,AZJ.AX,AURIZON HOLDINGS LTD,3.63,6110405632,-2.68,-13.78,-14.59,1.95,5D <= -12.0%,,Aurizon Holdings Ltd (ASX:AZJ): Is This a Buying Opportunity or a Caution Signal? - Kalkine | Aurizon shares on watch as profit and dividends jump in FY2026 earnings - The Motley Fool Australia | Aurizon Holdings (ASX:AZJ) Shares Retreat as Investors Assess FY27 Outlook - Kalkine | Why Are Aurizon (ASX:AZJ) and Breville (ASX:BRG) in Focus? - kalkinemedia.com | A Look At Aurizon Holdings (ASX:AZJ) Valuation After Reaffirmed FY2026 Earnings And Dividend Guidance - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,PMV.AX,PREMIER INVESTMENTS LTD,11.64,1857388544,-2.43,-13.39,-15.6,1.38,5D <= -12.0%,,Premier Investments (ASX:PMV) Shares Slammed — What Has Investors Heading for the Exit? - Kalkine | 3 ASX shares tipped to explode up to 72% in the back half of 2026 - The Motley Fool Australia | Premier Investments Limited's (ASX:PMV) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong? - simplywall.st | Premier Investments Ltd (ASX:PMV): Consumer Discretionary Play Under Market Scrutiny - Kalkine | Premier Investments (ASX:PMV) investors are sitting on a loss of 45% if they invested a year ago - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,ARF.AX,ARENA REIT,2.35,955592896,0.43,4.91,-27.47,1.29,20D <= -20.0%,default,"Arena REIT (ASX:ARF): Latest Share Price and Business Snapshot - Kalkine | After falling 33% over two days, a huge 77% rebound for this ASX real estate stock is tipped - The Motley Fool Australia | Arena REIT securities plunge 22pc after childcare tenant Edge Early Learning fails to pay rent - Business News Australia | Does Arena REIT (ASX:ARF) Face Deeper Tenant-Quality Questions After Edge Early Learning Rent Default? - simplywall.st | Arena REIT postpones FY2026 earnings result as Edge Early Learning seeks rent relief - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
