rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.35,685161728.0,-21.18,-21.91,-21.55,26.84,1D <= -7.0%; 5D <= -12.0%; 20D <= -20.0%,,Hansen Technologies (ASX:HSN) Share Price Faces Transition Year After Margin Strength - simplywall.st | Hansen Technologies (ASX: HSN) Shares: Assessing the Outlook After Recent Results - Kalkine | Hansen Technologies appoints new CEO as Andrew Hansen becomes Executive Chair - The Motley Fool Australia | Could Hansen Technologies (ASX:HSN) Governance Update Matter? - Kalkine Media | Hansen Technologies (ASX:HSN) Cash Acceleration Is the Story in 1H FY26 - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,WTC.AX,WISETECH GLOBAL LTD,39.58,13310861312.0,-8.7,-2.08,16.96,2.25,1D <= -7.0%,,"Why did WiseTech shares just crash 10%? - The Motley Fool Australia | Are WiseTech Global Ltd (ASX:WTC) shares good value in 2026? - Rask Media | WiseTech Global (ASX:WTC) Shares in Focus as Investors Assess AI Strategy and Margin Outlook - Kalkine | WiseTech Global (ASX:WTC) Earnings Spotlight: What Investors Are Watching on 19 August - Kalkine Media | By August 2027, $8,000 invested in WiseTech shares could turn into… - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,IPX.AX,IPERIONX LTD,3.02,1093644928.0,-7.93,-15.64,-13.96,1.28,1D <= -7.0%; 5D <= -12.0%,,IperionX Ltd (ASX: IPX) Share Price Rises Today – Here’s Why - Kalkine | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st | IperionX (ASX:IPX) After Camden Deal And Defense Award Is The Valuation Too Rich - Yahoo Finance | Advanced Materials Stock IperionX (ASX:IPX) Drops — Correction or Opportunity? - Kalkine | IperionX (ASX:IPX) Shares Valuation Check After Strong Long Term Returns And Premium P/B Multiple - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,IRE.AX,IRESS LTD,6.04,1128208384.0,-5.63,-21.66,-8.62,2.49,5D <= -12.0%,,Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Why Does Iress (ASX:IRE) Matter Today? - Kalkine Media | Why Iress Limited (ASX:IRE) Could Be Worth Watching - simplywall.st | Iress (ASX:IRE): Should You Consider Stock For Portfolio? - Kalkine | Can Iress (ASX:IRE) Turn Its Margin Reset Into Lasting Momentum? - Kalkine Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,VUL.AX,VULCAN ENERGY RESOURCES LTD,2.7,1292384000.0,-2.17,-12.9,2.27,1.21,5D <= -12.0%,,Vulcan Energy Resources (ASX: VUL) Drops — Can the Company Regain Investor Confidence? - Kalkine | Is Vulcan Energy Resources (ASX:VUL) Undervalued Following Its Lionheart Construction Start? - simplywall.st | Vulcan Energy Resources Ltd. Actuals & Estimates (ASX:VUL) - TradingView | Why Are Investors Closely Watching Vulcan Energy Resources (ASX:VUL) Shares? - Kalkine | Why the Vulcan Energy share price is rising today - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,JBH.AX,JB HI-FI LTD,70.84,7745219072.0,-1.75,-15.05,-9.34,1.33,5D <= -12.0%,,"JB Hi-Fi reports profit and dividend growth in FY26 results - The Motley Fool Australia | JB Hi-Fi (ASX:JBH) lifts payout to 75% as dividend policy re-rates the story - Stocks Down Under | Down 14% today: Are JB Hi-Fi shares now a bargain-bin buy? - The Motley Fool Australia | JB Hi-Fi (ASX:JBH) share price sinks 13% on FY26 result, weak sales in July - Rask Media | Why JB Hi-Fi (ASX:JBH) Shares Are Among Today’s Biggest ASX 200 Decliners? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,LLC.AX,LENDLEASE GROUP,2.76,1906859648.0,-1.43,-12.1,-3.5,1.52,5D <= -12.0%,downgrade,Lendlease Group (ASX:LLC) Shares Retreat as Investors Assess Property Outlook - Kalkine | Lendlease (ASX:LLC) Shares Face Deeper Losses As Balance Sheet Strain Persists - simplywall.st | Lendlease FY26 earnings: Top-end IDC result but statutory loss hits share price - The Motley Fool Australia | Lendlease (ASX:LLC) Sinks to $749m Loss - Kalkine | ASX real estate share receives sharp downgrade - Morningstar Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,SGM.AX,SIMS LTD,22.67,4380592128.0,-1.31,-14.1,-13.47,1.99,5D <= -12.0%,,"ASX 200 Stocks in Red: Sims Limited (ASX:SGM) and Bendigo Bank (ASX:BEN) Slide on FY26 Updates - Kalkine | Sims (ASX:SGM) Shares Fall 12.63% Despite FY26 Earnings Surge - Kalkine | Sims (ASX:SGM): Can Recycling Resilience Put This Metal & Mining Stock in Focus? - Kalkine Media | Sims Limited (ASX:SGM) Share Price Falls as Investors Assess FY26 Earnings Outlook - Kalkine | Up 134% since October, why is this $6 billion ASX 200 stock leaping higher again today? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,AZJ.AX,AURIZON HOLDINGS LTD,3.62,6093572096.0,-0.28,-13.19,-16.2,1.81,5D <= -12.0%,,Aurizon Holdings Ltd (ASX:AZJ): Is This a Buying Opportunity or a Caution Signal? - Kalkine | Aurizon shares on watch as profit and dividends jump in FY2026 earnings - The Motley Fool Australia | Aurizon Holdings (ASX:AZJ) Catalyst Watch: What Could Move Shares Next on 19 August - Kalkine Media | A Look At Aurizon Holdings (ASX:AZJ) Valuation After Reaffirmed FY2026 Earnings And Dividend Guidance - Yahoo Finance | Those who invested in Aurizon Holdings (ASX:AZJ) a year ago are up 18% - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,ARF.AX,ARENA REIT,2.37,963725632.0,0.85,1.28,-25.94,0.72,20D <= -20.0%,default,"Arena REIT (ASX:ARF): Latest Share Price and Business Snapshot - Kalkine | Arena REIT securities plunge 22pc after childcare tenant Edge Early Learning fails to pay rent - businessnewsaustralia.com | Arena REIT postpones FY2026 earnings result as Edge Early Learning seeks rent relief - The Motley Fool Australia | Does Arena REIT (ASX:ARF) Face Deeper Tenant-Quality Questions After Edge Early Learning Rent Default? - simplywall.st | After falling 33% over two days, a huge 77% rebound for this ASX real estate stock is tipped - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,TVN.AX,TIVAN LTD,0.25,581829184.0,2.04,-12.28,-15.25,0.65,5D <= -12.0%,trading halt,"Why Tivan (ASX:TVN) Shares Climb Despite Weak Resources Sentiment? - Kalkine | Tivan (ASX:TVN) Jumps 8% on Molyhil Scoping Study, Decades-Long Tungsten Mine Takes Shape - Stocks Down Under | Guess which ASX stock just came out of a trading halt and jumped 8% today - The Motley Fool Australia | Insights: Tivan Ltd (ASX:TVN) - smallcaps.com.au | Tivan Limited (ASX:TVN) Surges Today After Key Business Update - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
