rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,OCL.AX,OBJECTIVE CORPORATION LTD,5.82,555991360.0,-22.05,-16.69,-17.05,4.4,1D <= -7.0%; 5D <= -12.0%,,"Objective Corporation (ASX:OCL): Why This Software Stock's Huge Drop Has Shocked the ASX - Kalkine | Can Objective Corp (ASX:OCL) Build Momentum as Technology Demand Shifts? - Kalkine Media | Buy, hold, sell: Objective Corp, ResMed, and South32 shares - The Motley Fool Australia | When Should You Buy Objective Corporation Limited (ASX:OCL)? - Yahoo Finance | Objective Corporation (ASX:OCL) Climbs as Public Sector Software Demand Holds - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,BOE.AX,BOSS ENERGY LTD,1.52,631066496.0,-16.25,0.66,28.27,2.19,1D <= -7.0%,,"Boss Energy (ASX:BOE) Returns to Profit as Revenue Doubles, but FY27 Guidance Flags Higher Costs - Kalkine | Boss Energy (ASX:BOE) in Focus as Honeymoon Expansion and Uranium Demand Shape Investor Sentiment - Kalkine | Could Boss Energy (ASX:BOE) Gain Fresh Attention in Energy Stocks? - Kalkine Media | Down 27%, are Boss Energy shares a buy, hold or sell? - The Motley Fool Australia | Can Boss Energy (ASX:BOE) Reset Its Energy Stock Outlook? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,CNI.AX,CENTURIA CAPITAL GROUP,1.14,,-13.91,-18.51,-22.64,1.9,1D <= -7.0%; 5D <= -12.0%; 20D <= -20.0%,,Centuria Capital Group (ASX:CNI) Examining Its Listed Real Estate Market Profile and Trading Activity - Kalkine | Centuria Capital Group (ASX:CNI) Shares Surge as AI Infrastructure Plans Gain Market Attention - Kalkine | 2 ASX shares tipped to grow 40% or more in the next 12 months - The Motley Fool Australia | How The Centuria Capital Group (ASX:CNI) Narrative Is Shifting With Steady Valuation And New Guidance - Yahoo Finance | Centuria Capital Group (ASX:CNI) Share Price in Focus as Real Estate Stocks Slip - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
4,candidate,GDG.AX,GENERATION DEVELOPMENT GROUP,3.31,1323726976.0,-13.8,-12.66,-18.87,2.81,1D <= -7.0%; 5D <= -12.0%,,"Generation Development Group (ASX:GDG) FY26 NPAT Rises 21% and FUM Reaches $46.5 Billion - Kalkine | Generation Development Group (ASX:GDG) Shares Could Be 37.4% Undervalued After Record FY2025 Results - simplywall.st | Generation Development Group posts 36% lift in FUM and record inflows for FY26 - The Motley Fool Australia | Generation Development Group Shares Lag The ASX 200 Today – The Latest - thebull.com.au | Generation Development Group (ASX:GDG) $34.8bn FUM, 57% sales growth and Division 296 now law - Stocks Down Under",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,SIQ.AX,SMARTGROUP CORP LTD,11.25,1554206080.0,-13.26,-13.26,-12.38,0.73,1D <= -7.0%; 5D <= -12.0%,,"Smartgroup Corporation (ASX:SIQ) Delivers Record H1 2026 as EBITDA Climbs 16% - Kalkine | Guess which ASX 300 stock is outperforming today on $20 million buyback news - The Motley Fool Australia | SIQ Forecast — Price Target — Prediction for 2027 - TradingView | Smartgroup Corporation (ASX:SIQ): The Salary Packaging Business Quietly Outrunning the Market - Kalkine | With 53% ownership, Smartgroup Corporation Ltd (ASX:SIQ) boasts of strong institutional backing - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,MFG.AX,MAGELLAN FINANCIAL GROUP LTD,9.65,2823666176.0,-12.67,-7.12,2.33,2.53,1D <= -7.0%,,Magellan Financial Group (ASX:MFG) Reports 47% Drop in Net Profit - Kalkine | Magellan Financial Group posts FY26 earnings; to rebrand as Barrenjoey - The Motley Fool Australia | Magellan Financial Group (ASX:MFG) FY26 Results Highlight Barrenjoey Merger Impact and New Growth Path - Kalkine | Magellan (ASX:MFG) share price soars 5% on Barrenjoey approval - Rask Media | Magellan Financial Group: A dilutive acquisition of Barrenjoey - Morningstar,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,MMS.AX,MCMILLAN SHAKESPEARE LTD,19.26,1341324672.0,-8.24,-5.31,-2.33,0.79,1D <= -7.0%,,"Is this ASX industrials stock a buy, hold or sell after soaring 6% yesterday? - The Motley Fool Australia | McMillan Shakespeare Shares Continue To Rise Despite Overbought Signal - thebull.com.au | Should You Be Adding McMillan Shakespeare (ASX:MMS) To Your Watchlist Today? - Yahoo Finance | MMS Forecast — Price Target — Prediction for 2027 - TradingView | This ASX 300 stock has shed over 5% following half-year results - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,NEC.AX,NINE ENTERTAINMENT CO HOLDIN,0.96,1530260480.0,-7.66,-1.03,-1.03,1.5,1D <= -7.0%,,"Nine Entertainment Rebounds Above 2% (ASX:NEC): Is the Market Repricing the Media Stock? - Kalkine | Buy, hold, sell: Nine Entertainment, Wesfarmers, BHP shares - The Motley Fool Australia | Declining Stock and Decent Financials: Is The Market Wrong About Nine Entertainment Co. Holdings Limited (ASX:NEC)? - Yahoo Finance | Nine Entertainment (ASX:NEC): Is the Media Dividend Story Holding Up? - Kalkine | Are Nine Entertainment or News Corp shares a better buy? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,ABB.AX,AUSSIE BROADBAND LTD,4.42,1394178816.0,-3.91,-12.65,-7.72,0.55,5D <= -12.0%,,Aussie Broadband (ASX:ABB) FY26 Results Highlight Growth Momentum and Margin Management Challenge - Kalkine | Aussie Broadband (ASX:ABB) share price sinks despite 42% profit growth in FY26 result - Rask Media | Aussie Broadband Shares Move Red YTD Following Solid Results: What Happened? - thebull.com.au | Aussie Broadband (ASX:ABB) Shares Are Dropping Today. Here's What's Happening - Kalkine | All Ordinaries: Is Aussie Broadband (ASX:ABB) Back in Focus? - Kalkine Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,NAN.AX,NANOSONICS LTD,2.76,824994048.0,-2.47,-23.33,-11.82,1.18,5D <= -12.0%,,"Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | NAN:ASX Announcement - Nanosonics to commence $40 million share buy-back program - 25 Aug 2026 - Market Index | Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine | Investors in Nanosonics (ASX:NAN) have unfortunately lost 48% over the last five years - Yahoo Finance | The five-year underlying earnings growth at Nanosonics (ASX:NAN) is promising, but the shareholders are still in the red over that time - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,SDR.AX,SITEMINDER LTD,3.06,866239680.0,-1.61,-21.74,-7.27,0.75,5D <= -12.0%,,"SiteMinder (ASX:SDR) Shares Slump 11% Despite Narrowing Losses — What's Behind the Drop? - Kalkine | SiteMinder: FY26 profit nearly doubles, revenue jumps 22% - The Motley Fool Australia | SiteMinder (ASX:SDR) Lifts Adjusted EBITDA 96%, Net Loss Narrows - Kalkine | Market is misinterpreting AI impact on cheap ASX share - Morningstar | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
