rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,PXA.AX,PEXA GROUP LTD,6.65,1169975808,-17.8,-17.9,-10.38,8.33,1D <= -7.0%; 5D <= -12.0%,downgrade,Pexa Group (ASX:PXA): What's Behind the Property Settlement Platform's Steep Slide - Kalkine | PEXA Group jumps to FY26 profit as revenue and EBITDA lift - The Motley Fool Australia | Earnings To Watch: PEXA Group Ltd (ASX:PXA) Q4 2026 -- GF Value Sees 114% Upside - Yahoo Finance | Undervalued ASX share retains wide moat rating despite regulatory pressures - Morningstar Australia | PEXA Shares Hit All-Time Low as Downgrade Fuels Bears - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,55.46,1429411200,-9.75,-8.03,-8.18,1.41,1D <= -7.0%,,Macquarie Technology Group (ASX:MAQ) Shares Confront Margin Squeeze And Cash Quality Doubts - simplywall.st | What Could Put Macquarie Technology Group (ASX:MAQ) Back in the Midcap View? - Kalkine Media | The ASX data center stock flying under the radar - Morningstar Australia | Why Macquarie Technology is one of the most interesting AI infrastructure plays on the ASX - The Motley Fool Australia | Macquarie Technology Group (ASX:MAQ): Should You Keep This Stock on Radar? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,EQT.AX,EQT HOLDINGS LTD,19.34,518178752,-7.82,-12.49,14.78,2.11,1D <= -7.0%; 5D <= -12.0%,,"EQT Holdings (ASX:EQT) Stock Drops: Why Investors Are Selling - Kalkine | Top ASX Dividend Stocks To Consider In August 2026 - simplywall.st | ASX Sell-Off Watch: Solstice Minerals, Chorus and EQT Holdings All Slide - Kalkine | TPG bids $468 million for Australia's EQT; stock logs best day in 41 years - Reuters | EQT Holdings FY26 Financial Results Announced Amid Competing Takeover Offers from TPG and BGH Capital - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,SIQ.AX,SMARTGROUP CORP LTD,10.48,1362169216,-7.26,-18.51,-18.19,2.03,1D <= -7.0%; 5D <= -12.0%,,"Smartgroup Corporation (ASX:SIQ) Delivers Record H1 2026 as EBITDA Climbs 16% - Kalkine | Guess which ASX 300 stock is outperforming today on $20 million buyback news - The Motley Fool Australia | SIQ Forecast — Price Target — Prediction for 2027 - TradingView | With 53% ownership, Smartgroup Corporation Ltd (ASX:SIQ) boasts of strong institutional backing - Yahoo Finance | Upgrade! Which ASX 300 share is Bell Potter recommending to clients this week? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,MFG.AX,MAGELLAN FINANCIAL GROUP LTD,9.08,2656879872,-4.42,-13.28,-4.92,2.68,5D <= -12.0%,,"Why Is Magellan Financial Group (ASX:MFG) Stock Down 14% Today? - Kalkine | Magellan Financial Shares Today’s ASX 200 Laggard, But What Lay Ahead? - thebull.com.au | Magellan Financial Group posts FY26 earnings; to rebrand as Barrenjoey - The Motley Fool Australia | Magellan Financial Group (ASX:MFG) Shares Dive as Annual Profit Nearly Halves After the Barrenjoey Merger - Kalkine | What’s Next for Magellan Financial (ASX:MFG) After Advisory Update? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,INA.AX,INGENIA COMMUNITIES GROUP,3.65,1487678976,-4.0,-13.24,-15.42,2.06,5D <= -12.0%,,"Ingenia Communities Group (ASX:INA) Agrees to Acquire Peet Limited to Build a National Living Sector Platform - Kalkine | Ingenia Communities Group (ASX:INA) Shares Chase One Off Profit Glow - simplywall.st | Ingenia Communities proposes to acquire Peet, boosting growth - The Motley Fool Australia | All Ordinaries: Is Ingenia Communities (ASX:INA) in Focus? - Kalkine Media | Peet Limited (ASX:PPC) Enters Scheme Implementation Deed With Ingenia Communities Group - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,MAD.AX,MADER GROUP LTD,6.18,1257393408,-3.13,-12.59,-10.43,1.18,5D <= -12.0%,,Mader Group Ltd (ASX:MAD) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | Record FY26 Profitability and EPS Lift Could Be A Game Changer For Mader Group (ASX:MAD) - simplywall.st | Mader Group (ASX:MAD): Bearish Engulfing and Trendline Breakdown Signal Downside Risk - Kalkine | Is Mader Group (ASX:MAD) Strengthening Its Governance Framework? - Kalkine Media | MAD Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,ABB.AX,AUSSIE BROADBAND LTD,4.34,1370521856,-1.92,-13.96,-8.91,0.5,5D <= -12.0%,,Aussie Broadband (ASX:ABB): Head & Shoulders Breakdown Signals Further Downside Risk - Kalkine | Aussie Broadband (ASX:ABB) share price sinks despite 42% profit growth in FY26 result - Rask Media | Aussie Broadband FY26 earnings: double-digit growth and new acquisitions - The Motley Fool Australia | Aussie Broadband Shares Move Red YTD Following Solid Results: What Happened? - thebull.com.au | Aussie Broadband (ASX:ABB) Shares Are Dropping Today. Here's What's Happening - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,GDG.AX,GENERATION DEVELOPMENT GROUP,3.2,1279736064,-1.54,-16.01,-22.14,1.69,5D <= -12.0%; 20D <= -20.0%,,Generation Development Group (ASX:GDG) Faces Market Pressure Despite Record FY26 Growth - Kalkine | Generation Development Group FY26 earnings: Record inflows and FUM growth - The Motley Fool Australia | Generation Development Group (ASX:GDG) FY26 NPAT Rises 21% and FUM Reaches $46.5 Billion - Kalkine | Generation Development Group (ASX:GDG) Shares Could Be 37.4% Undervalued After Record FY2025 Results - simplywall.st | Generation Development Group Shares Lag The ASX 200 Today – The Latest - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,ARF.AX,ARENA REIT,2.32,947248000,-0.85,-6.83,-27.27,0.33,20D <= -20.0%,default,"Arena REIT (ASX:ARF) FY26 Results Show Strength, But Tenant Risks Remain in Focus - Kalkine | Arena REIT (ASX:ARF) Shares Face Edge Fallout Despite Rising NAV - simplywall.st | After falling 33% over two days, a huge 77% rebound for this ASX real estate stock is tipped - The Motley Fool Australia | ASX real estate stocks have been slammed by rate hikes, is it time to buy the dip? - Market Index | Does Arena REIT (ASX:ARF) Face Deeper Tenant-Quality Questions After Edge Early Learning Rent Default? - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,CNI.AX,CENTURIA CAPITAL GROUP,1.18,1183647616,-0.67,-13.72,-19.32,1.27,5D <= -12.0%,,Centuria Capital Group (ASX: CNI) Falls Despite Record AUM as Property Concerns Weigh - Kalkine | Centuria Capital launches $454M Sydney office fund - grafa.com | How Did Centuria Capital Group (ASX:CNI) Shift the Financial Stocks View? - Kalkine Media | Centuria Capital Group (ASX:CNI) Lifts FY26 Operating Profit 11% and AI Infrastructure Push Accelerates - Kalkine | Centuria Capital Group (ASX:CNI) Shares Surge as AI Infrastructure Plans Gain Market Attention - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,candidate,IEL.AX,IDP EDUCATION LTD,1.82,505180256,1.11,3.13,-21.43,0.35,20D <= -20.0%,,"Bearish: Analysts Just Cut Their IDP Education Limited (ASX:IEL) Revenue and EPS estimates - simplywall.st | IDP Education (ASX:IEL) Earnings Slide Keeps The Undervalued Narrative In Focus - Yahoo Finance | Why IDP Education (ASX:IEL) Shares Crashed 24% in a Month? - Kalkine | These 2 oversold ASX shares look super cheap right now - The Motley Fool Australia | Down 90%, what is going on with IDP Education shares? - thebull.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,candidate,SDR.AX,SITEMINDER LTD,3.14,888886528,2.28,-16.93,-6.27,0.99,5D <= -12.0%,,"SiteMinder (ASX:SDR) Shares Slump 11% Despite Narrowing Losses — What's Behind the Drop? - Kalkine | SiteMinder: FY26 profit nearly doubles, revenue jumps 22% - The Motley Fool Australia | SiteMinder (ASX:SDR) Lifts Adjusted EBITDA 96%, Net Loss Narrows - Kalkine | Market is misinterpreting AI impact on cheap ASX share - Morningstar Australia | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,candidate,NAN.AX,NANOSONICS LTD,2.73,817521216,2.43,-24.66,-12.9,1.36,5D <= -12.0%,,"Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | NAN:ASX Announcement - Nanosonics to commence $40 million share buy-back program - 25 Aug 2026 - Market Index | Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine | Investors in Nanosonics (ASX:NAN) have unfortunately lost 48% over the last five years - Yahoo Finance | The five-year underlying earnings growth at Nanosonics (ASX:NAN) is promising, but the shareholders are still in the red over that time - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
