rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,SLX.AX,SILEX SYSTEMS LTD,5.03,1400544768.0,-15.6,-8.55,6.34,0.37,1D <= -7.0%,,Silex Systems (ASX:SLX) Stock Slides: What Is Driving Recent Pressure on SLX? - Kalkine | How Did Silex Systems (ASX:SLX) Return to Penny Stock Attention? - Kalkine Media | Why Silex Systems (ASX:SLX) Is Up 12.2% After Advancing Its Laser Isotope Platform Across Sectors - simplywall.st | SILEX Systems Ltd Share Price and Fundamentals (SLX) - thebull.com.au | ASX 200 uranium stock lifts off on $143 million US laser news - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,ELS.AX,ELSIGHT LTD,4.96,1103036928.0,-13.59,-10.47,-19.61,0.36,1D <= -7.0%,,"Elsight Ltd (ASX: ELS): Potential Head & Shoulders Pattern Signals Further Downside Risk - Kalkine | Up 1,800% in a year, this ASX stock just hit another record high - The Motley Fool Australia | ASX Value Picks Elsight And 2 Others Trading Below Estimated Worth - Yahoo Finance | Elsight Shares Hit Fresh All-Time High as Momentum Builds - thebull.com.au | Elsight (ASX:ELS) Tumbles 8% Despite Tripling in a Year — What Is Rattling the Drone Connectivity Stock? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,CU6.AX,CLARITY PHARMACEUTICALS LTD,2.21,826374848.0,-11.75,-7.32,-6.14,0.16,1D <= -7.0%,,Clarity Pharmaceuticals (ASX:CU6) Advances SECuRE Trial With Additional Complete Responses - Kalkine | Clarity Pharmaceuticals Shares Close At 52-Week Low: The Latest - thebull.com.au | Clarity Pharmaceuticals Ltd (ASX:CU6) Stock Slides: What Investors Should Know - Kalkine | Clarity Pharmaceuticals (ASX:CU6) Plunges as Clinical-Stage Biotech Sell-Off Continues - Kalkine | Clarity Pharmaceuticals (ASX:CU6): Biotech Stock Falls as Investors Watch Trial Progress - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,4DX.AX,4DMEDICAL LTD,3.35,2006776960.0,-8.1,-8.86,-15.53,0.13,1D <= -7.0%,,4DMEDICAL Ltd (ASX: 4DX) Share Price Falls 5.10% as Stock Trades Within Its Daily Range - Kalkine | Can 4DMedical (ASX:4DX) Keep Its Strong Momentum Going? - Kalkine Media | Why this expert is betting against 4DMedical and DroneShield shares - The Motley Fool Australia | 4DMEDICAL Ltd (ASX: 4DX) Share Price Rises on the ASX Health Care Sector – 20 August 2026 Update - Kalkine | Why 4DMEDICAL Ltd (ASX:4DX) Stock Is Down Today - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,DDR.AX,DICKER DATA LTD,14.08,2553845760.0,-7.97,11.39,12.76,0.15,1D <= -7.0%,,"Dicker Data delivers record H1 FY26 profit and lifts full-year guidance - The Motley Fool Australia | What makes Dicker Data DDR stand out in AI Stocks? - Kalkine Media | Dicker Data (ASX:DDR) Shares Climb with AI, Cloud and Enterprise Technology Trends in Focus - Kalkine | Can Dicker Data (ASX:DDR) Extend Its Momentum on Rising AI Demand? - Kalkine Media | DDR Forecast — Price Target — Prediction for 2027 - TradingView",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,3.92,1083903360.0,-7.65,-5.65,3.56,0.17,1D <= -7.0%,,"Brazilian Rare Earths (ASX:BRE) Advances Rocha da Rocha Project as Critical Minerals Demand Grows - Kalkine | Insiders In Brazilian Rare Earths Still Down 33% On AU$90.2m Investment - simplywall.st | Rare Earths Stocks: 5 Biggest ASX Companies in 2026 - investingnews.com | Brazilian Rare Earths share price rises as Alurion IPO raises $50 million - The Motley Fool Australia | Brazilian Rare Earths (ASX:BRE) Share Price Falls 8% Today, Company Withdraws Production and Financial Forecasts - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,SDR.AX,SITEMINDER LTD,2.9,820946112.0,-7.05,-24.08,-13.69,0.49,1D <= -7.0%; 5D <= -12.0%,,SiteMinder (ASX:SDR): Why This Could Be a September Tech Stock to Watch as AI and Software Demand Accelerate - Kalkine | Market is misinterpreting AI impact on cheap ASX share - Morningstar Australia | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st | SiteMinder (ASX:SDR) Shares Could Be 22% Undervalued After Price Spike Draws Fresh Attention - Yahoo Finance | Here are the top 10 ASX 200 shares today - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,GGP.AX,GREATLAND RESOURCES LTD,11.8,7961075200.0,-6.79,-13.11,17.3,0.08,5D <= -12.0%,,"Why Greatland Resources Ltd (ASX:GGP) Advanced on 17 August 2026 - Kalkine | Is Greatland Resources’ (ASX:GGP) New 2027 Gold Guidance Rewriting Its Long-Term Mine Plan Story? - simplywall.st | Greatland Resources Shares Pull Back, As Key Levels Come Into Play - thebull.com.au | Greatland Resources posts March quarter update - The Motley Fool Australia | Greatland Resources (ASX:GGP): Why Investors Are Closely Watching This Gold-Copper Stock - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,MFG.AX,MAGELLAN FINANCIAL GROUP LTD,8.52,2493019392.0,-5.86,-19.47,-12.16,0.48,5D <= -12.0%,,"Why Is Magellan Financial Group (ASX:MFG) Stock Down 14% Today? - Kalkine | Magellan Financial Group (ASX:MFG) Shares Sink As Fee Compression Deepens - simplywall.st | Magellan Financial Group posts FY26 earnings; to rebrand as Barrenjoey - The Motley Fool Australia | Magellan Financial Shares Today’s ASX 200 Laggard, But What Lay Ahead? - thebull.com.au | Magellan Financial Group (ASX:MFG) Shares Dive as Annual Profit Nearly Halves After the Barrenjoey Merger - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,OCL.AX,OBJECTIVE CORPORATION LTD,6.51,622920640.0,-4.19,-13.48,-5.85,0.17,5D <= -12.0%,,"Objective Corporation (ASX:OCL) Shares Crash Despite Higher Revenue and Profit: What Spooked Investors? - Kalkine | Objective Corporation Limited Just Recorded A 7.8% EPS Beat: Here's What Analysts Are Forecasting Next - simplywall.st | What's Driving Objective Corporation's Ongoing Buy-Back Activity? - Kalkine Media | Objective Corporation (ASX:OCL) Shares Weaken as SaaS Growth Story Continues - Kalkine | Buy, hold, sell: Objective Corp, ResMed, and South32 shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,NEU.AX,NEUREN PHARMACEUTICALS LTD,19.6,2484770048.0,-4.16,-12.69,5.43,0.06,5D <= -12.0%,,Investors Are Watching Neuren Pharmaceuticals Ltd (ASX:NEU): What's Behind the Share Price Move? - Kalkine | Neuren Pharmaceuticals share price rockets: record Q2 DAYBUE sales and royalty upgrade - The Motley Fool Australia | Lunch Wrap: ASX pops above record line as Neuren catches fire - stockhead.com.au | Growth Investors: Industry Analysts Just Upgraded Their Neuren Pharmaceuticals Limited (ASX:NEU) Revenue Forecasts By 55% - simplywall.st | Neuren Pharmaceuticals (ASX:NEU) US$35m EU trigger puts royalties back in focus - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
