rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,NEC.AX,NINE ENTERTAINMENT CO HOLDIN,0.92,1450972416.0,-8.5,-5.67,-8.96,1.54,1D <= -7.0%,,"Nine Entertainment (ASX:NEC): WIN Group Lifts Voting Power to 25.94% After Fresh Share Buys - Kalkine | Buy, hold, sell: Nine Entertainment, Wesfarmers, BHP shares - The Motley Fool Australia | Nine Entertainment Rebounds Above 2% (ASX:NEC): Is the Market Repricing the Media Stock? - Kalkine | Which ASX media share to buy: News Corp, Nine or REA Group? - The Motley Fool Australia | Nine shares fall from cliff - adnews.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,3.5,966538048.0,-4.63,-17.65,-19.54,1.1,5D <= -12.0%,,Brazilian Rare Earths (ASX:BRE): Can Monte Alto Turn Scoping Ambition Into Project Progress? - Kalkine | Brazilian Rare Earths (ASX:BRE) Retreats 4.6% — Inside the Monte Alto Drill Results Expanding the Deposit - Kalkine | Why Is Brazilian Rare Earths Limited (ASX:BRE) in Focus? - Kalkine Media | Rare Earths Stocks: 5 Biggest ASX Companies in 2026 - Investing News Network | Can Brazilian Rare Earths (ASX:BRE) Turn Its New 9 km Corridor Into a Scalable Advantage? - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,ELS.AX,ELSIGHT LTD,4.72,1049664064.0,-0.84,-17.77,-33.24,0.7,5D <= -12.0%; 20D <= -20.0%,,"Elsight Ltd (ASX: ELS): Head & Shoulders Breakdown Confirms Further Downside Risk - Kalkine | Elsight Limited (ASX:ELS) Up 175% Over the Year — Should You Watch This Connectivity Stock? - Kalkine | Up 1,800% in a year, this ASX stock just hit another record high - The Motley Fool Australia | ASX Value Picks Elsight And 2 Others Trading Below Estimated Worth - Yahoo Finance | Is Strengthening Drone‑Defence Demand Altering The Investment Case For Elsight (ASX:ELS)? - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,PNI.AX,PINNACLE INVESTMENT MANAGEME,14.27,3438856192.0,-0.63,-16.84,-22.85,2.81,5D <= -12.0%; 20D <= -20.0%,,Pinnacle Investment Management (ASX:PNI): How a Multi-Manager Platform Is Expanding Its Global Investment Reach - Kalkine | Pinnacle Investment Management Group Limited (ASX:PNI): Could Higher Rates and Stronger Margins Put This Financial Stock in Focus? - Kalkine | What Does Pinnacle Investment (ASX:PNI)'s Profit Growth and Fund Inflows Mean for Market participants? - Kalkine Media | ASX Value Picks Including Pinnacle Investment Management Group And 2 Other Stocks For Estimated Growth - simplywall.st | Pinnacle Investment Management (ASX:PNI) Is on the Move: What's Behind Today's Share Price Action? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,LOV.AX,LOVISA HOLDINGS LTD,23.08,2555856128.0,-0.3,-12.41,-14.83,1.38,5D <= -12.0%,,"Lovisa Holdings Ltd (ASX: LOV) Share Price, LOV Stock News, LOV Share Price & Updates - Kalkine | What Does Lovisa (ASX:LOV)'s Profit Lift and Global Store Rollout Mean for Market participants? - Kalkine Media | LOV Forecast — Price Target — Prediction for 2027 - TradingView | Lovisa Holdings (ASX:LOV) shares jump 12%: here's what's driving the rally - Kalkine | 2 top ASX shares to buy and hold for the next decade - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,NAN.AX,NANOSONICS LTD,2.76,824994048.0,0.36,1.1,-22.69,1.6,20D <= -20.0%,,"Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine | The five-year underlying earnings growth at Nanosonics (ASX:NAN) is promising, but the shareholders are still in the red over that time - simplywall.st | Nanosonics Limited (ASX:NAN) is favoured by institutional owners who hold 72% of the company - Yahoo Finance | Why Nanosonics (ASX:NAN) Could Be Worth Watching in Penny Stocks Now? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,SLX.AX,SILEX SYSTEMS LTD,4.99,1389407104.0,0.81,-16.28,2.67,1.47,5D <= -12.0%,,Silex Systems (ASX:SLX) After Full Year Results Is The Valuation Story Fully Priced In - Yahoo Finance | Silex Systems (ASX:SLX): Nuclear Technology Commercialisation Path Remains in Focus - Kalkine | Silex Systems (ASX:SLX): Is Profitability Getting Closer? - Kalkine Media | Silex Systems (ASX:SLX) Stock Is Rising — What's Driving the Rally? - Kalkine | Silex Systems (ASX:SLX) Stock Slides: What Is Driving Recent Pressure on SLX? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,GDG.AX,GENERATION DEVELOPMENT GROUP,3.17,1267738496.0,1.28,-0.62,-22.81,1.36,20D <= -20.0%,,"Generation Development Group (ASX:GDG) Tomorrow’s Ex-Dividend Stocks: What to Know - Kalkine | Generation Development Group FY26 earnings: Record inflows and FUM growth - The Motley Fool Australia | Generation Development Group (ASX:GDG) Shares Drift As FUM Strength Meets Thin Margins - simplywall.st | Generation Development Group (ASX:GDG) Rebounds—Can Platform Growth Repair Sentiment? - Kalkine | Dividend Watch: Whitefield Industrials (ASX:WHF), Kina Securities (ASX:KSL) and Generation Development Group (ASX:GDG) Go Ex-Dividend Tomorrow - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,CHC.AX,CHARTER HALL GROUP,19.0,8986946560.0,1.6,-2.81,-20.5,0.73,20D <= -20.0%,,"Charter Hall Group (ASX:CHC): Could the Next Rate Move Reshape the Investment Case for This Property Stock? - Kalkine | Charter Hall Group (ASX:CHC) Shares Face Margin Squeeze Despite Fee Growth - simplywall.st | What Does Charter Hall (ASX:CHC)'s In-Line Annual Result Mean for Market participants? - Kalkine Media | Charter Hall Group (ASX:CHC): Investment Capacity, Acquisitions and Earnings Take Centre Stage - Kalkine | Charter Hall (ASX:CHC) lifts FY26 guidance yet again as $6.5bn inflows hit record - stocksdownunder.com",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,WBT.AX,WEEBIT NANO LTD,3.53,849825920.0,2.62,-5.87,-20.14,0.91,20D <= -20.0%,,Kalkine ASX Analysis: Weebit Nano Ltd (ASX:WBT) Falls on Strong Volume—What's Behind the Move? - Kalkine | What Does Weebit Nano (ASX:WBT) Bring to the AI Stocks Theme? - Kalkine Media | Weebit Nano Shares Down 35% In Three Weeks: The Latest - thebull.com.au | Stock of the day: Weebit Nano - ig.com | Weebit Nano (ASX:WBT) Shares on Investor’s Radar – Here’s Why - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,IRE.AX,IRESS LTD,5.67,1059096320.0,2.72,-1.22,-20.58,0.57,20D <= -20.0%,,"Iress Ltd (ASX:IRE): Financial Technology Growth Drives a Rising Dividend - Kalkine | Income Investors Should Know That Iress Limited (ASX:IRE) Goes Ex-Dividend Soon - simplywall.st | Why Could Iress (ASX:IRE) Enter the Technology Stocks Spotlight? - Kalkine Media | Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Buy, hold, or sell? Life360, Iress, Lynas Rare Earths shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
