rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,MYR.AX,MYER HOLDINGS LTD,0.18,,-7.69,-10.0,-18.18,4.43,1D <= -7.0%,,"Why Investors Are Selling Myer Holdings Ltd (ASX:MYR) Stock Amid Consumer Headwinds - Kalkine | ASX retail share remains cheap despite weaker earnings - Morningstar Australia | Is Myer (ASX:MYR) Turning Its Apparel Merger Around? - Kalkine Media | Myer (ASX:MYR) share price in focus as profit jumps 33% in HY26 result - Rask Media | Buy, hold, sell: Myer, Centuria Office REIT, Viva Energy shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
2,candidate,SHV.AX,SELECT HARVESTS LTD,4.67,654587840.0,-7.34,-3.11,12.26,1.31,1D <= -7.0%,,"Select Harvests Ltd (ASX:SHV) Stock Drops — What Higher Costs Mean for the Near-Record Crop Year - Kalkine | Select Harvests (ASX:SHV): The Story Is Getting Harder for ASX Investors to Ignore - Kalkine | Select Harvests Shares Jump as Dividend and Buyback News - thebull.com.au | Buy, hold, sell: Select Harvests, Auckland Airport, Wesfarmers shares - The Motley Fool Australia | This Is Why Select Harvests Limited's (ASX:SHV) CEO Compensation Looks Appropriate - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,ARU.AX,ARAFURA RARE EARTHS LTD,0.19,1184136064.0,-7.14,2.63,-11.36,1.01,1D <= -7.0%,,"Arafura Rare Earths Notifies Cessation of 2,539,000 Unquoted Options - Kalkine | Arafura Brings Critical Minerals Pathway to Market (ASX:ARU) - Kalkine Media | Rare earths prices just hit three-year highs — why ASX stocks like LYC, ILU and ARU aren’t moving… yet - Market Index | Rare Earths Stocks: 5 Biggest ASX Companies in 2026 - Investing News Network | Arafura Rare Earths (ASX:ARU) After Its Supply Deal And Funding Progress, Is It Undervalued - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,NEC.AX,NINE ENTERTAINMENT CO HOLDIN,0.81,1324111360.0,-2.91,-13.02,-15.66,1.09,5D <= -12.0%,,"Nine Entertainment (ASX:NEC): WIN Group Lifts Voting Power to 25.94% After Fresh Share Buys - Kalkine | What Does Nine Entertainment Co. Holdings Limited's (ASX:NEC) Share Price Indicate? - simplywall.st | Buy, hold, sell: Nine Entertainment, Wesfarmers, BHP shares - The Motley Fool Australia | Nine Entertainment Rebounds Above 2% (ASX:NEC): Is the Market Repricing the Media Stock? - Kalkine | Which ASX media share to buy: News Corp, Nine or REA Group? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,WBT.AX,WEEBIT NANO LTD,3.43,825751552.0,-2.28,-0.87,-27.02,1.13,20D <= -20.0%,,"Weebit Nano (ASX:WBT): Semiconductor Partnerships, Revenue Growth and AI Opportunities Under Review - Kalkine | Weebit Nano Shares Down 35% In Three Weeks: The Latest - thebull.com.au | Stock of the day: Weebit Nano - ig.com | Why Capstone Copper, Weebit Nano, and Fortescue shares are turning heads on Friday - The Motley Fool Australia | Why Investors Are Watching Weebit Nano Ltd (ASX:WBT) in the Tech Sector - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,SDR.AX,SITEMINDER LTD,2.84,803960960.0,-1.73,0.71,-26.04,0.52,20D <= -20.0%,,2 top ASX shares to buy and hold for the next decade - The Motley Fool Australia | SiteMinder (ASX:SDR) Share Price Falls — What's Weighing on the Stock? - Kalkine | Market is misinterpreting AI impact on cheap ASX share - Morningstar Australia | Does SiteMinder (ASX:SDR) Finally Have Its Profit Path? - Kalkine Media | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,CHC.AX,CHARTER HALL GROUP,18.39,8698418176.0,-1.5,-3.26,-21.94,1.09,20D <= -20.0%,,Why Is Charter Hall Group (ASX:CHC) in Focus Across Retirement Planning Stocks? - Kalkine Media | Charter Hall Group (ASX:CHC): Could the Next Rate Move Reshape the Investment Case for This Property Stock? - Kalkine | Charter Hall Group (ASX:CHC) Shares Face Margin Squeeze Despite Fee Growth - simplywall.st | ASX property share lifts guidance despite sector headwinds - Morningstar Australia | Charter Hall (ASX:CHC) lifts FY26 guidance yet again as $6.5bn inflows hit record - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,IRE.AX,IRESS LTD,5.64,1053492608.0,-1.05,3.87,-25.1,0.89,20D <= -20.0%,,"Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Is Iress (ASX:IRE) Turning Around Tech Delivery? - Kalkine Media | After a steep fall on results, this ASX technology stock could be 40% undervalued - The Motley Fool Australia | Why Iress Limited (ASX:IRE) Could Be Worth Watching - simplywall.st | Iress (ASX:IRE) Keeps Its Interim Dividend Fully Franked as the Transformation Continues - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.33,681071232.0,-0.6,-0.89,-21.17,0.44,20D <= -20.0%,,"Hansen Technologies (ASX:HSN): Is the Market Setting Up for the Next Digital-Growth Re-Rating? - Kalkine | This ASX 300 technology stock is tipped to double in the next 12 months - The Motley Fool Australia | Hansen Technologies (ASX:HSN) Posts FY26 Earnings Growth, Is The Stock A Bargain? - simplywall.st | Hansen Technologies (ASX:HSN) Nears Ex-Dividend Date Following FY26 Results - Kalkine | Buy, hold, sell: Premier Investments, Hansen Technologies, Santos shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,REG.AX,REGIS HEALTHCARE LTD,4.62,1397226752.0,-0.22,-19.95,-23.09,0.54,5D <= -12.0%; 20D <= -20.0%,,Regis Healthcare Ltd (ASX:REG) Stock Slides—Here's What's Driving the Move - Kalkine | Regis Healthcare reacts to government funding change - The Motley Fool Australia | Andrew Kinkade Spends AU$246k On Regis Healthcare Stock - simplywall.st | Why Is Regis Healthcare (ASX:REG) in Focus Among Healthcare Stocks Amid the Sector Rebound? - Kalkine Media | Why Regis Healthcare Ltd (ASX:REG) Stock Slid to a 52-Week Low - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,NAN.AX,NANOSONICS LTD,2.82,842928640.0,0.71,4.83,-20.34,0.71,20D <= -20.0%,,"Nanosonics (ASX:NAN) Up 2.18% — Should You Add This Infection Prevention Stock to Your Watchlist? - Kalkine | Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | The five-year underlying earnings growth at Nanosonics (ASX:NAN) is promising, but the shareholders are still in the red over that time - simplywall.st | Nanosonics Limited (ASX:NAN) is favoured by institutional owners who hold 72% of the company - Yahoo Finance | Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
