rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,DVP.AX,DEVELOP GLOBAL LTD,4.73,1560831232.0,-6.71,-9.73,-14.62,0.71,1D <= -4.0%; 5D <= -8.0%,,"Develop Global (ASX:DVP) Remains on Investor Radar Amid Mining Services and Project Activity - Kalkine | Insights: Develop Global Limited (ASX:DVP) - smallcaps.com.au | Why Deep Yellow, Develop Global, Resolute Mining, and Santos shares are pushing higher today - The Motley Fool Australia | Develop Global (ASX:DVP) Powers Higher as Mining Stocks Lead the Market - Kalkine | DVP Forecast — Price Target — Prediction for 2027 - TradingView",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,CU6.AX,CLARITY PHARMACEUTICALS LTD,2.63,981203648.0,-6.07,-2.23,13.36,0.5,1D <= -4.0%,,3 ASX Growth Stocks With High Insider Ownership And Up To 34% Earnings Growth - simplywall.st | Clarity Pharmaceuticals (ASX:CU6): Radiopharmaceutical Innovation Under Spotlight After Share Price Gain - Kalkine | Clarity Pharmaceuticals (ASX:CU6) Surges Today — Is This Radiopharmaceutical Biotech a Story Worth Following? - Kalkine | Clarity Pharmaceuticals Ltd's (ASX:CU6) market cap dropped AU$145m last week; individual investors who hold 48% were hit as were institutions - simplywall.st | Clarity Pharmaceuticals (CU6 ASX: CU6) Rises 9% as Traders Rotate Into Biotech Stocks - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,SRL.AX,SUNRISE ENERGY METALS LTD,17.63,2987190272.0,-5.62,10.67,21.67,0.72,1D <= -4.0%,,"Sunrise Energy Metals Applies to Quote 12,506 Ordinary Shares Following Option Conversions - Kalkine | Sunrise Energy Metals (ASX:SRL) Looks Pricey As US$400 Million DoD Loan Backing Lifts Attention - simplywall.st | Sunrise Energy Metals secures US$400m U.S. loan and plans U.S. listing - The Motley Fool Australia | Sunrise Energy Metals Shares Hit New ATH To Lead ASX 200: What Is Driving The Move? - thebull.com.au | Sunrise Energy Metals Seeks ASX Quotation for 12,506 Shares After Option Conversion - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,MI6.AX,MINERALS 260 LTD,0.74,1680246656.0,-5.13,-2.63,28.7,0.46,1D <= -4.0%,,"Beyond the Daily Drop: What Investors Are Watching at Minerals 260 (ASX:MI6)? - Kalkine | Minerals 260 Shares Double YTD, As New Milestone Reached - thebull.com.au | Is Sentiment Around Gold Quietly Redefining Minerals 260’s (ASX:MI6) Core Investment Narrative? - simplywall.st | Why Is Minerals 260 (ASX:MI6) Share Price Rising Today? - Kalkine | Minerals 260 (ASX:MI6) Valuation In Focus After Bullabulling Drilling Results Exceed Current Resource Grade - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,CNI.AX,CENTURIA CAPITAL GROUP,1.5,,-5.06,1.35,-10.98,0.7,1D <= -4.0%,,Centuria Capital Group (ASX:CNI) Shares Surge as AI Infrastructure Plans Gain Market Attention - Kalkine | Centuria Capital Group (ASX:CNI) Share Price in Focus as Real Estate Stocks Slip - Kalkine | How a Major Equity Raising and Sydney Office Expansion At Centuria Capital Group (ASX:CNI) Has Changed Its Investment Story - simplywall.st | How The Centuria Capital Group (ASX:CNI) Narrative Is Shifting With Steady Valuation And New Guidance - Yahoo Finance | Centuria Capital Group wraps up $300m equity raise and shares resume trading - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
6,near_miss,FML.AX,FOCUS MINERALS LTD,1.9,544461440.0,-5.0,-5.94,25.41,0.8,1D <= -4.0%,,"Focus Minerals (ASX:FML): Should You Consider Stock After Sharp Drop? - Kalkine | Subdued Growth No Barrier To Focus Minerals Limited (ASX:FML) With Shares Advancing 40% - simplywall.st | Insights: Focus Minerals Ltd (ASX:FML) - smallcaps.com.au | Focus Minerals (ASX:FML) Share Price Moves Higher, June Quarter Delivers Increased Gold Production - Kalkine | Focus Minerals (ASX: FML) Soars 180% on Profit Breakthrough and Surging Gold Prices - Stocks Down Under",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,BMN.AX,BANNERMAN ENERGY LTD,3.45,716949952.0,-4.96,1.77,8.49,1.28,1D <= -4.0%,,Bannerman Energy (ASX:BMN) Plummets as Uranium Developers Face Heavy Selling - Kalkine | Bannerman Energy Ltd's (ASX:BMN) Shift From Loss To Profit - Yahoo Finance | Bannerman Energy Ltd (ASX:BMN) Is Expected To Breakeven In The Near Future - simplywall.st | Bannerman Energy (ASX:BMN) Rises As Uranium Strength Supports Etango Build - Kalkine | How high does UBS think this ASX uranium share will go? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,IPX.AX,IPERIONX LTD,3.29,1191421056.0,-4.91,-4.36,0.61,0.96,1D <= -4.0%,,IperionX Ltd (ASX: IPX) Share Price Rises Today – Here’s Why - Kalkine | IperionX (ASX:IPX) Shares Valuation Check After Strong Long Term Returns And Premium P/B Multiple - simplywall.st | Why this ASX 300 stock is jumping 10% today? - The Motley Fool Australia | Iperionx (ASX:IPX) Retreats: Critical Minerals Company Pulls Back - Kalkine | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,FFM.AX,FIREFLY METALS LTD,1.86,1429941888.0,-4.62,-2.11,12.39,1.0,1D <= -4.0%,,FireFly Metals (ASX:FFM): Copper-Gold Ambitions Keep Exploration Story Under Review - Kalkine | Is FireFly Metals (ASX:FFM) Undervalued Following Green Bay Drill Results? - simplywall.st | Assessing FireFly Metals (ASX:FFM) Valuation After Strong 1 Year Return And Recent Share Price Weakness - Yahoo Finance | FireFly Metals completes Ontario gold assets sale to sharpen Green Bay focus - Proactive financial news | Firefly Metals (ASX:FFM) Share Price Rises as Gold Sector Sentiment Supports Market Attention - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,PDN.AX,PALADIN ENERGY LTD,10.13,4552001024.0,-4.52,-0.2,20.31,0.99,1D <= -4.0%,,Paladin Energy (ASX:PDN) Plunges as Uranium Stocks Face Selling Wave - Kalkine | Why Paladin Energy shares could rise 60% - The Motley Fool Australia | Why Is Paladin Energy (ASX:PDN) Among Energy Stocks Back in Focus? - Kalkine Media | Paladin Energy (ASX:PDN) Shares Look Stretched After Langer Heinrich Ramp Up - Yahoo Finance | Paladin Energy (ASX:PDN) Climbs: Uranium Sentiment Lifts the Stock - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,CYL.AX,CATALYST METALS LTD,6.18,1629474560.0,-4.33,-4.33,15.73,1.16,1D <= -4.0%,,Catalyst Metals (ASX:CYL) Slips Slightly While Investors Track Gold Mining Expansion Plans - Kalkine | Catalyst Metals Limited Actuals & Estimates (ASX:CYL) - TradingView | Catalyst Metals (ASX:CYL) Hits Its Best Gold Output Since 2013 As Value Questions Linger - simplywall.st | Catalyst Metals (ASX:CYL): Is Stock Worth Considering Right Now? - Kalkine | Catalyst Metals (ASX:CYL) Share Price Advances as Investors Track Gold Market Developments - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
