rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,SUL.AX,SUPER RETAIL GROUP LTD,12.38,2795731968,-6.64,-9.24,-6.0,2.83,1D <= -4.0%; 5D <= -8.0%,,Super Retail Group (ASX: SUL) Approaches FY26 Results as Sales Growth and Margins Remain Key Focus Areas - Kalkine | Super Retail Group (ASX:SUL) Drops as Market Focus Turns to FY26 Numbers - Kalkine | Is It Too Late To Consider Buying Super Retail Group Limited (ASX:SUL)? - simplywall.st | What Could Super Retail Group (ASX:SUL) Tell Us About Retail? - Kalkine Media | ASX retail share expected to recover despite choppy conditions - Morningstar Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,TVN.AX,TIVAN LTD,0.24,558232960,-5.88,-2.04,-9.43,2.21,1D <= -4.0%,trading halt,"Why Tivan (ASX:TVN) Shares Climb Despite Weak Resources Sentiment? - Kalkine | Tivan (ASX:TVN) Jumps 8% on Molyhil Scoping Study, Decades-Long Tungsten Mine Takes Shape - Stocks Down Under | Guess which ASX stock just came out of a trading halt and jumped 8% today - The Motley Fool Australia | Tivan (ASX:TVN) Shares Rises 4% on Wednesday – Here’s Why - Kalkine | Tivan Limited (ASX:TVN) Surges Today After Key Business Update - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,PMV.AX,PREMIER INVESTMENTS LTD,11.93,1903663616,-4.71,-10.97,-14.1,0.82,1D <= -4.0%; 5D <= -8.0%,,Premier Investments (ASX:PMV) Shares Slammed — What Has Investors Heading for the Exit? - Kalkine | 3 ASX shares tipped to explode up to 72% in the back half of 2026 - The Motley Fool Australia | Why Is Premier Investments (ASX:PMV) Back in Focus Among ASX Mid-Cap Stocks? - Kalkine Media | Premier Investments Ltd (ASX:PMV): Consumer Discretionary Play Under Market Scrutiny - Kalkine | Premier Investments (ASX:PMV) investors are sitting on a loss of 45% if they invested a year ago - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,NAB.AX,NATIONAL AUSTRALIA BANK LTD,39.46,120800280576,-4.62,-4.27,-0.58,2.1,1D <= -4.0%,,"2 tools to value the National Australia Bank Ltd (ASX: NAB) share price - Rask Media | Profits up, home loans down. Why NAB shares are getting smashed on Monday - The Motley Fool Australia | National Australia Bank (ASX:NAB) share price in focus following 32% growth in FY26 Q3 - Rask Media | Could National Australia Bank (ASX:NAB) Stand Out Among ASX 200 Bank Shares? - Kalkine Media | Buying NAB shares after the sell-off? Here's the dividend yield you'll get - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,HVN.AX,HARVEY NORMAN HOLDINGS LTD,4.6,5731630592,-4.56,-7.07,-4.56,2.23,1D <= -4.0%,,Harvey Norman Holdings (ASX:HVN) Shares Fall as Retail Trends Remain in Focus - Kalkine | Harvey Norman (ASX: HVN) Shares Under Pressure Ahead of FY26 Results: What Investors Need to Watch - Kalkine | Is Harvey Norman Holdings (ASX:HVN) Below Fair Value On The $35 Million ASIC Penalty? - simplywall.st | ASX Penny Stocks: Harvey Norman Holdings And 2 Other Promising Picks - Yahoo Finance | Harvey Norman just hit a 52-week low. Is this beaten-down ASX retailer becoming too cheap to ignore? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,WES.AX,WESFARMERS LTD,84.84,96317382656,-4.35,-5.25,-8.73,1.72,1D <= -4.0%,,"Wesfarmers (ASX:WES) Shares Retreat With Bunnings, Kmart and Lithium in Focus - Kalkine | Wesfarmers (ASX:WES) Nears Results as Retail Tape Firms - Kalkine Media | What Is Wesfarmers Limited's (ASX:WES) Share Price Doing? - Yahoo Finance | Why Wesfarmers Limited (ASX:WES) Could Be Worth Watching - simplywall.st | Buy, hold, sell: Woolworths, Elders, Wesfarmers shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,BVS.AX,BRAVURA SOLUTIONS LTD,3.44,1542151936,-4.18,22.42,33.85,0.64,1D <= -4.0%,,Bravura Solutions (ASX:BVS) Under Investor Watch After FY26 Results and Strategic Updates - Kalkine | Why Bravura Solutions (ASX:BVS) Is Up 28.2% After Launching a Major Buyback and Dividend Boost - simplywall.st | Bravura Solutions (ASX:BVS) Could Be 19% Overvalued Following Earnings And Capital Returns - Yahoo Finance | Bravura Solutions (ASX:BVS) Climbs as Buyback Signals Financial Confidence - Kalkine | Bravura Solutions (ASX:BVS) Shares Reflect Margin Gains But Churn Questions Linger - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,IMD.AX,IMDEX LTD,3.69,1888696320,-4.16,-8.21,1.93,4.12,1D <= -4.0%; 5D <= -8.0%,,"IMDEX (ASX:IMD) Shares Fall 4% on Record FY26 — Why 21% Revenue Growth Wasn't Enough? - Kalkine | IMDEX (ASX:IMD) prints record A$520m as platform revenue quietly crosses 47% - Stocks Down Under | IMDEX (ASX:IMD): Revenue Growth, Higher Margins and Debt Shape the Outlook - Kalkine | Why Is IMDEX (ASX:IMD) Changing the Midcap Stocks? - Kalkine Media | Can this red hot ASX materials stock keep charging higher? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,TEA.AX,TASMEA LTD,9.09,2513000960,-4.11,6.44,-2.05,0.9,1D <= -4.0%,,What Drove Tasmea Ltd (ASX:TEA) Down on 17 August 2026? - Kalkine | Tasmea Ltd (ASX:TEA) Dips: Can Acquisition Strategy Continue Delivering Growth? - Kalkine | TEA Stock Price and Chart — ASX:TEA - TradingView | A $75 million deal has this ASX 200 stock smashing a record high today - The Motley Fool Australia | Why are Tasmea Shares (ASX: TEA) Up So Much? - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,ABG.AX,ABACUS GROUP,0.86,764077312,-3.39,-8.06,-8.06,1.13,5D <= -8.0%,,Abacus Group (ASX:ABG) Dividend Watch: Can a 9.34% Yield Reflect Long-Term Income Potential? - Kalkine | Abacus Group (ASX:ABG) Share Price Update Amid Real Estate Sector Pressure - Kalkine | This ASX property stock is rising after takeover speculation heats up - The Motley Fool Australia | How The Abacus Group (ASX:ABG) Investment Story Is Evolving Without New Analyst Targets - Yahoo Finance | ABG Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,LOV.AX,LOVISA HOLDINGS LTD,24.18,2677656832,-2.14,-8.3,5.87,0.78,5D <= -8.0%,,"Lovisa Holdings Ltd (ASX:LOV) Stock: Market Dynamics & Long-Term Value Assessment - Kalkine | Lovisa Holdings Ltd. Revenue Breakdown – ASX:LOV - TradingView | 3 ASX Stocks That May Be Undervalued By Up To 49.7% - simplywall.st | Lovisa Holdings Ltd (ASX:LOV) Momentum Builds on Sector Strength - Kalkine | Lovisa shares are getting hammered on a profit miss, but is the stock still a buy? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
