rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,ZIP.AX,ZIP CO LTD,2.52,3139723008,-6.67,-8.03,-10.0,1.38,1D <= -4.0%; 5D <= -8.0%,,Xero vs Zip shares: Which ASX 200 tech stock has made investors richer over the past month? - The Motley Fool Australia | Zip Co (ASX:ZIP) Slides Sharply as Technology Shares Fall Out of Favour - Kalkine | ZIP Co Ltd Share Price and Fundamentals (ZIP) - thebull.com.au | Zip shares are getting crushed: What’s gone wrong? - The Motley Fool Australia | Zip Co (ASX:ZIP) Gains Momentum as Investors Revisit Fintech Stocks - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,VUL.AX,VULCAN ENERGY RESOURCES LTD,2.76,1321103616,-6.44,-10.1,5.34,1.32,1D <= -4.0%; 5D <= -8.0%,,"Vulcan Energy Resources (ASX: VUL) Drops — Can the Company Regain Investor Confidence? - Kalkine | Vulcan Energy Resources Ltd. Actuals & Estimates (ASX:VUL) - TradingView | Vulcan Energy appoints Amanda Lacaze to board, discloses shareholding - The Globe and Mail | Why Are Investors Closely Watching Vulcan Energy Resources (ASX:VUL) Shares? - Kalkine | Why the Vulcan Energy share price is rising today - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,GWA.AX,GWA GROUP LTD,2.25,596711552,-6.25,-6.64,-4.66,3.97,1D <= -4.0%,,GWA Group Limited (ASX:GWA) Share Price Decline Highlights Cash Flow and Housing Market Concerns - Kalkine | GWA Group (ASX:GWA) Shares Drift As Margin Repair Meets Cash Flow Doubts - simplywall.st | GWA Group (ASX:GWA) Dividend Profile: A 6.63% Yield Backed by a Longstanding Building Products Business - Kalkine | GWA Forecast — Price Target — Prediction for 2027 - TradingView | 3 ASX stocks poised to ride Australia’s renovation wave - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,ELS.AX,ELSIGHT LTD,6.43,1427482240,-5.58,-9.18,-10.32,0.97,1D <= -4.0%; 5D <= -8.0%,,"Elsight (ASX:ELS) Tumbles 8% Despite Tripling in a Year — What Is Rattling the Drone Connectivity Stock? - Kalkine | Elsight Limited Announces Issuance of 365,000 Fully Paid Ordinary Shares Under Section 708A Notice - kalkinemedia.com | Elsight delivers solid cash flow in June quarter - The Motley Fool Australia | Why Is Elsight (ASX:ELS) Share Price Gaining Ground? - Kalkine | Could Elsight (ASX:ELS) Be Entering a Bigger Growth Phase? - kalkinemedia.com",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,ELV.AX,ELEVRA LITHIUM LTD,8.67,1682119040,-5.45,1.88,9.61,1.1,1D <= -4.0%,,Elevra Lithium Limited (ASX:ELV) Share Price Falls as Lithium Prices Pressure Expansion Outlook - Kalkine | Elevra Lithium Limited (ASX: ELV) FY26 Financial Results and Annual Report Advisory - marketscreener.com | Elevra Lithium (ASX:ELV): Why Is This ASX 200 Lithium Stock in Focus? - kalkinemedia.com | Elevra Lithium plans a live FY26 webcast with investor questions - Stock Titan | Do Weaker Recoveries Challenge Elevra Lithium’s Cost Profile And Earnings Quality Story (ASX:ELV)? - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,BEN.AX,BENDIGO AND ADELAIDE BANK,10.56,5954434560,-5.29,-5.71,-0.28,6.4,1D <= -4.0%,,"Bendigo Bank (ASX:BEN) share price sinks on APRA pain, FY26 result - Rask Media | Bendigo and Adelaide Bank Limited (ASX:BEN) Share Price Falls as Regulatory Actions Drive Market Focus - Kalkine | Bendigo and Adelaide Bank posts FY26 profit as it commits to risk overhaul - The Motley Fool Australia | Does APRA Penalty And Cyber Incident Accounting Shape The Bull Case For Bendigo and Adelaide Bank (ASX:BEN)? - simplywall.st | ASX 200 Stocks in Red: Sims Limited (ASX:SGM) and Bendigo Bank (ASX:BEN) Slide on FY26 Updates - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,TUA.AX,TUAS LTD,2.1,1151631872,-4.98,-2.78,-5.41,3.47,1D <= -4.0%,,Tuas (ASX:TUA) Shares Are Under Pressure Today- Here’s Why? - Kalkine | Why are Tuas shares crashing 69% on Monday? - The Motley Fool Australia | Assessing Tuas (ASX:TUA) Valuation After Regulatory Suspension Of M1 Acquisition Review - simplywall.st | Tuas (ASX:TUA) M1 deal stalls as IMDA flags an unauthorised spectrum problem at Simba - Stocks Down Under | Can Heavy Liquidity Confirm a Stable Uptrend in Tuas (ASX:TUA) Shares? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,BVS.AX,BRAVURA SOLUTIONS LTD,3.27,1465940864,-4.94,17.2,30.8,1.03,1D <= -4.0%,,Bravura Solutions (ASX:BVS) Under Investor Watch After FY26 Results and Strategic Updates - Kalkine | Why Bravura Solutions (ASX:BVS) Is Up 28.2% After Launching a Major Buyback and Dividend Boost - simplywall.st | Bravura Solutions (ASX:BVS) Could Be 19% Overvalued Following Earnings And Capital Returns - Yahoo Finance | Bravura Solutions (ASX:BVS) Climbs as Buyback Signals Financial Confidence - Kalkine | Bravura Solutions (ASX:BVS): What's Driving the Rally After Its Capital Return Push? - kalkinemedia.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,BSL.AX,BLUESCOPE STEEL LTD,31.5,13799439360,-4.37,-9.82,-1.56,1.51,1D <= -4.0%; 5D <= -8.0%,,BlueScope Steel Ltd (ASX:BSL) Drops — Should It Stay on Your Radar? - Kalkine | BlueScope Steel FY26 earnings: Profit and dividends soar - The Motley Fool Australia | Can BlueScope (ASX:BSL) Turn Steel Cash Into Income? - kalkinemedia.com | BlueScope Steel Shares (BSL) Soar on A$13 Billion Takeover Proposal - thebull.com.au | Is There Now An Opportunity In BlueScope Steel (ASX:BSL) After Recent Share Price Pullback - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,DRO.AX,DRONESHIELD LTD,1.88,1732670208,-4.34,-11.56,-13.59,0.92,1D <= -4.0%; 5D <= -8.0%,,DroneShield Group (ASX:DRO) Shares Under Pressure: What Are Investors Monitoring Beyond the Daily Decline? - Kalkine | Why did DroneShield shares crash 30% in July to new one-year lows? - The Motley Fool Australia | Is DroneShield (ASX:DRO) Quietly Recasting Its Defence Credentials With Admiral Goddard’s Board Appointment? - simplywall.st | Droneshield (ASX:DRO) Slides Despite Fresh Contract Win - Kalkine | DroneShield shares crash 11% today: Should I buy before the end of July? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,8.57,1899987456,-4.25,7.12,19.69,0.65,1D <= -4.0%,,Why Electro Optic Systems’ (ASX:EOS) Shares Are Down Today? - Kalkine | New Counter-Drone Order (US$124m) and Middle East JV for Laser Weapons and RWS - Electro Optic Systems | This ASX defence stock just jumped 14%. Here’s the big news - The Motley Fool Australia | Electro Optic Systems (ASX:EOS) stock recovers but stays under A$8 placement level - TechStock² | Kalkine Stock Spotlight: Why Electro Optic Systems' (ASX:EOS) Share Purchase Plan Gained Limelight? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
