rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,PLS.AX,PLS GROUP LTD,5.14,16569414656,-6.03,4.26,27.23,1.28,1D <= -4.0%,,"PLS Group (ASX:PLS) share price in focus as profit soars 369% in FY26 result - Rask Media | Buy, hold, sell: Bendigo and Adelaide Bank, PLS, EOS shares - The Motley Fool Australia | Does PLS Group’s New U.S. Lobbying Strategy Change The Bull Case For PLS Group (ASX:PLS)? - simplywall.st | Lunch Wrap: BHP hits record as miners fire up; PLS brings divvy back - Stockhead | PLS Group Limited Declares Fully Franked Ordinary Dividend of AUD 0.05 Per Share - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,ELV.AX,ELEVRA LITHIUM LTD,9.07,1535814912,-5.82,4.61,21.26,1.3,1D <= -4.0%,,"Elevra Lithium Ltd (ASX:ELV) Binding Agreement Concluded with Mangrove Lithium - ABN Newswire | Elevra Lithium (ASX:ELV) Shares Climbed, What Is Behind The Move? - simplywall.st | Elevra Lithium (ASX:ELV): Should You Consider Stock After Sharp Drop? - Kalkine | Does Long-Term Floor-Priced North American Offtake Deal Change The Bull Case For Elevra Lithium (ASX:ELV)? - simplywall.st | Is Elevra Lithium (ASX:ELV) Undervalued On Its Fresh Q4 Production Update? - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,FML.AX,FOCUS MINERALS LTD,2.11,604638720,-5.38,7.11,12.53,1.74,1D <= -4.0%,,Focus Minerals (ASX:FML): Should You Consider Stock After Sharp Drop? - Kalkine | Subdued Growth No Barrier To Focus Minerals Limited (ASX:FML) With Shares Advancing 40% - simplywall.st | Which ASX Penny Stocks Are Standing Out for Financial Strength? - Kalkine Media | Why Focus Minerals (ASX: FML) Stock Is Falling Today: Key Factors Behind the Decline - Kalkine | Focus Minerals (ASX: FML) Soars 180% on Profit Breakthrough and Surging Gold Prices - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,OBM.AX,ORA BANDA MINING LTD,1.59,3055330304,-5.37,15.69,43.44,0.79,1D <= -4.0%,,3 Australian Resource Stocks With Cash to Fund Growth - simplywall.st | Ora Banda Mining (ASX:OBM): The Long-Term Case for Higher Gold Production and Lower Costs - Kalkine | What Is Putting Ora Banda (ASX:OBM) on the Gold Radar? - Kalkine Media | Ora Banda Mining (ASX:OBM) Stock Surges 13 % on Exploration Momentum - Kalkine | Does Ora Banda Mining (ASX:OBM) Kalgoorlie Spotlight Hint At A Deeper Strategic Shift? - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,SXE.AX,SOUTHERN CROSS ELECTRICAL,4.34,1317423360,-5.24,-6.67,1.64,0.95,1D <= -4.0%,,"Southern Cross Electrical Engineering (ASX:SXE) Reported Weaker Earnings, Is The Stock Fairly Valued? - simplywall.st | Southern Cross Electrical Engineering (ASX:SXE) Rises 124.14% in a Year as Data-Centre Work Reshapes Its Growth Profile - Kalkine | ASX growth stocks: Analysts just hiked this stock's target price by 46% - Market Index | Southern Cross Electrical Engineering (ASX:SXE): What Does FY26 Reveal? - Kalkine Media | Southern Cross Electrical Engineering (ASX:SXE) Shares Face Statutory Profit Crunch - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,IGO.AX,IGO LTD,8.34,6315613696,-4.9,4.91,19.31,1.02,1D <= -4.0%,,"Why Is IGO (ASX:IGO) Share Price Falling Today? - Kalkine | IGO (ASX:IGO) Leans On Greenbushes Recovery, Is It Trading Below Fair Value? - simplywall.st | IGO shares sink 14%. Here’s what just spooked investors? - The Motley Fool Australia | IGO Shares Break Through A$10 To Multi-Year High: What Next? - thebull.com.au | IGO (ASX:IGO): Is Recent Sell-Off Buying Opportunity? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,SMR.AX,STANMORE RESOURCES LTD,2.59,2334604288,-4.78,-0.77,7.92,1.92,1D <= -4.0%,,"Why Stanmore Resources (ASX:SMR) Is Up 5.0% After Reaffirming 2026 Production Guidance And Earnings - simplywall.st | Stanmore Resources Ltd (AX: SMR) Share Price, SMR Stock News, SMR Share Price & Updates - Kalkine | Stanmore Resources (SMR) Tests Support as Shares Flash Oversold Signal - thebull.com.au | Why these 3 ASX 200 stocks are crashing in this week’s surging market - The Motley Fool Australia | Insights: Stanmore Resources Limited (ASX:SMR) - smallcaps.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,SHL.AX,SONIC HEALTHCARE LTD,20.44,10102223872,-4.66,-11.21,-7.13,1.44,1D <= -4.0%; 5D <= -8.0%,,Why Sonic Healthcare Ltd (ASX:SHL) Shares Are Up Today - Kalkine | Sonic Healthcare share price in focus on FY26 profit jump and digital push - The Motley Fool Australia | ASX healthcare share remains undervalued ahead of earnings - Morningstar Australia | Why Are Sonic Healthcare (ASX:SHL) Volumes Firming? - Kalkine Media | Are Sonic Healthcare Ltd (ASX:SHL) shares good value in 2026? - Rask Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,ARU.AX,ARAFURA RARE EARTHS LTD,0.21,1275223552,-4.55,-4.55,13.51,0.93,1D <= -4.0%,,"Arafura Rare Earths (ASX:ARU): Rare Earths Development Strategy Remains Under Investor Watch - Kalkine | Rare earths prices just hit three-year highs — why ASX stocks like LYC, ILU and ARU aren’t moving… yet - Market Index | ASX Movers Today: Arafura Rare Earths (ASX:ARU) in focus as volatility after earnings reshapes Rare Earth Minerals Stocks - Kalkine Media | Rare Earths Stocks: 5 Biggest ASX Companies in 2026 - Investing News Network | Arafura Rare Earths (ASX:ARU) After Its Supply Deal And Funding Progress, Is It Undervalued - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,IPX.AX,IPERIONX LTD,3.05,1104508928,-4.09,-7.01,-6.15,0.73,1D <= -4.0%,,IperionX Ltd (ASX: IPX) Share Price Rises Today – Here’s Why - Kalkine | IperionX eyes U.S. redomiciliation and board boost for American titanium push - The Motley Fool Australia | IperionX (ASX:IPX) Shares Valuation Check After Strong Long Term Returns And Premium P/B Multiple - simplywall.st | Advanced Materials Stock IperionX (ASX:IPX) Drops — Correction or Opportunity? - Kalkine | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,RFF.AX,RURAL FUNDS TRUST,1.95,759959872,-3.47,-10.55,-12.95,3.43,5D <= -8.0%,,Rural Funds Group (ASX:RFF) Shares Eye Value As AFFO Stalls - simplywall.st | Rural Funds Group (ASX:RFF) Shares Edge Higher as Investors Monitor Agricultural Property Exposure - Kalkine | Rural Funds Group (ASX:RFF): Why This Farmland REIT Is Turning Heads - Kalkine Media | Rural Funds Group (ASX:RFF) Climbs Nearly 5% — What Is Drawing Attention to the Agricultural REIT? - Kalkine | Rural Funds Group (ASX:RFF) Offers a 5.36% Yield – Can Agricultural Assets Support Future Distributions? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,3.14,5638578688,-2.79,-8.45,-11.3,1.45,5D <= -8.0%,,"What did Morningstar subscribers buy and sell in April? - Morningstar Australia | This beaten-down ASX 200 stock just jumped 5%. Is the market too negative? - The Motley Fool Australia | Endeavour Group Limited's (ASX:EDV) top owners are retail investors with 46% stake, while 34% is held by institutions - simplywall.st | Australian Stocks: 7 of the Best ASX Companies to Invest In Now - US News Money | Sell alert! Why these experts are calling time on Endeavour and PLS shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,GNP.AX,GENUSPLUS GROUP LTD,8.7,1768863232,-2.58,-8.13,-1.81,2.13,5D <= -8.0%,,GenusPlus Group (ASX:GNP) Shares Drop 5% Despite Record Revenue — Why Is the Stock Under Pressure? - Kalkine | GenusPlus Group (ASX:GNP) Revenue Surges 70% in Record FY26 - Kalkine | Earnings Not Telling The Story For GenusPlus Group Ltd (ASX:GNP) After Shares Rise 25% - simplywall.st | Up 200%! Is it too late to buy this ASX stock? Bell Potter says it isn't - The Motley Fool Australia | GNP Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,ING.AX,INGHAMS GROUP LTD,2.03,754509632,-1.93,-9.78,-11.35,1.22,5D <= -8.0%,,Inghams Group Limited Just Missed EPS By 40%: Here's What Analysts Think Will Happen Next - simplywall.st | Inghams Group (ASX:ING) Shares Surge Higher Amid Positive Consumer Staples Momentum - Kalkine | Inghams Group (ASX:ING) Shares Face Fresh Doubts After Margin Collapse - simplywall.st | How Investors May Respond To Inghams Group (ASX:ING) Earnings Setback And Dividend Cut - Yahoo Finance | Inghams Group (ASX:ING) Stock Watch: Making Sense of the Latest Price Move - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
