rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,SIG.AX,SIGMA HEALTHCARE LTD,2.66,30706249728.0,-6.34,-8.28,-10.14,1.56,1D <= -4.0%; 5D <= -8.0%,,"Sigma Healthcare FY26 earnings: Record profit as Chemist Warehouse merger delivers growth - The Motley Fool Australia | Why Sigma Healthcare Ltd (ASX:SIG) Stock Is Down Today - Kalkine | ASX 200: Why Are ALK, SIG and MSB on the Penny Stocks Radar? - Kalkine Media | Sigma Healthcare shares are surging. What does Macquarie say they're worth? - The Motley Fool Australia | Sigma Healthcare (ASX:SIG): Looking Beyond Today's Share Price Movement - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,NXL.AX,NUIX LTD,2.01,690517952.0,-5.63,34.45,62.1,0.42,1D <= -4.0%,,Nuix (ASX:NXL) Shares Are Surging Today. Here's What's Happening - Kalkine | Can Nuix (ASX:NXL) Restore Its Software Credibility? - Kalkine Media | Should You Think About Buying Nuix Limited (ASX:NXL) Now? - simplywall.st | Guess which ASX tech stock is rocketing 22% on big news - The Motley Fool Australia | Nuix (ASX:NXL) Share Price Falls as Market Tracks Corporate Developments and Business Profile - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,ARB.AX,ARB CORP LTD,19.7,1648103680.0,-4.18,1.91,-0.51,0.34,1D <= -4.0%,,ARB Corporation shares: FY26 profit drops but growth investments strengthen outlook - The Motley Fool Australia | Why Are Investors Watching ARB Corporation (ASX:ARB) Shares Closely? - Kalkine | ARB Corporation Limited's (ASX:ARB) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock? - Yahoo Finance | ARB Corp Shares At Lowest Level In Years as Selling Continues - thebull.com.au | Some ARB Corporation Limited (ASX:ARB) Shareholders Look For Exit As Shares Take 25% Pounding - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,WTC.AX,WISETECH GLOBAL LTD,39.52,13290682368.0,-3.35,-8.5,4.3,0.57,5D <= -8.0%,,Why is WiseTech Global (ASX:WTC) share price crashing today? - Kalkine | Why WiseTech shares are pushing higher again on Tuesday - The Motley Fool Australia | ASX 100: Can WiseTech Global (ASX:WTC) Shift Technology Stocks? - Kalkine Media | WiseTech Global share price: FY26 earnings soar 79% on e2open acquisition - The Motley Fool Australia | Tabcorp Holdings (ASX:TAH) shares are steady today — here's what's happening - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,IMD.AX,IMDEX LTD,3.51,1826192768.0,-3.04,-8.83,-3.04,0.16,5D <= -8.0%,,IMDEX Limited (ASX:IMD) Share Price Rises as Market Assesses Record FY26 Results and Investment Phase - Kalkine | Can this red hot ASX materials stock keep charging higher? - The Motley Fool Australia | ASX Movers Today: IMDEX (ASX:IMD) in focus as fresh reporting catalysts reshapes Smallcap Stocks - Kalkine Media | IMD Forecast — Price Target — Prediction for 2027 - TradingView | Investor Optimism Abounds Imdex Limited (ASX:IMD) But Growth Is Lacking - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,CHC.AX,CHARTER HALL GROUP,19.99,9455213568.0,-3.01,-9.59,-14.24,0.34,5D <= -8.0%,,"Charter Hall Group (ASX:CHC) Is Down 5.9% After Strong FY26 Profit Lift Has The Bull Case Changed? - simplywall.st | Charter Hall (ASX:CHC): Record Inflows, Property Revaluations and the Next Phase of the Cycle - Kalkine | Charter Hall Group (ASX:CHC) Shares Face Margin Squeeze Despite Fee Growth - simplywall.st | ASX property share lifts guidance despite sector headwinds - Morningstar | Charter Hall (ASX:CHC) lifts FY26 guidance yet again as $6.5bn inflows hit record - Stocks Down Under",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,INA.AX,INGENIA COMMUNITIES GROUP,3.89,1587536768.0,-2.38,-8.35,-9.63,0.89,5D <= -8.0%,,Ingenia Communities Group (ASX:INA) Shares Chase One Off Profit Glow - simplywall.st | Ingenia Communities Group (ASX:INA) Agrees to Acquire Peet Limited to Build a National Living Sector Platform - Kalkine | All Ordinaries: Is Ingenia Communities (ASX:INA) in Focus? - Kalkine Media | Ingenia Communities to buy Peet in major housing deal - grafa.com | Peet Limited (ASX:PPC) Enters Scheme Implementation Deed With Ingenia Communities Group - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,MP1.AX,MEGAPORT LTD,17.19,4166315008.0,-1.83,-10.98,5.91,0.32,5D <= -8.0%,,"Megaport (ASX:MP1) FY26 Growth Strategy Shifts Investor Focus Towards Execution - Kalkine | Megaport Limited (ASX:MP1) Just Reported Annual Earnings And Analysts Are Lifting Their Estimates - simplywall.st | Up 155% since April, is it too late to buy Megaport shares today? - The Motley Fool Australia | AI driving growth for ASX tech share - Morningstar | What Could Megaport (ASX:MP1) Change for AI? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,RFF.AX,RURAL FUNDS TRUST,1.93,752944896.0,-1.18,-10.56,-12.97,0.9,5D <= -8.0%,,"Rural Funds Group (ASX:RFF) Shares Eye Value As AFFO Stalls - simplywall.st | Rural Funds Group (ASX:RFF) Share Price and Business Update - Kalkine | Rural Funds Group (ASX:RFF): Why This Farmland REIT Is Turning Heads - Kalkine Media | Rural Funds Group (ASX:RFF) Shares Edge Higher as Investors Monitor Agricultural Property Exposure - Kalkine | I'd buy 22,166 shares of this ASX stock to aim for $50 a week of passive income - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,RIC.AX,RIDLEY CORP LTD,2.56,959623872.0,-1.16,-11.72,-9.22,0.32,5D <= -8.0%,,"Ridley Corporation Ltd (ASX: RIC) Share Price, RIC Stock News, RIC Share Price & Updates - Kalkine | Ridley Corporation (ASX:RIC): Can Fertiliser Expansion Keep Earnings Moving Higher? - Kalkine | RIC Forecast — Price Target — Prediction for 2027 - TradingView | Which rural products company's shares are up almost 20% on solid results? - The Motley Fool Australia | Insights: Ridley Corporation Limited (ASX:RIC) - smallcaps.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,JBH.AX,JB HI-FI LTD,67.08,7334124032.0,-1.13,-2.67,-15.12,0.33,20D <= -15.0%,,JB Hi-Fi (ASX:JBH) Lifts Its Final Dividend as FY26 Sales Reach a New High - Kalkine | JBH share price: why investors like consumer discretionary shares - Rask Media | Only Three Days Left To Cash In On JB Hi-Fi's (ASX:JBH) Dividend - simplywall.st | JB Hi-Fi reports profit and dividend growth in FY26 results - The Motley Fool Australia | Can JB Hi-Fi (ASX:JBH) Defy Softer Discretionary Spending? - Kalkine Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
