signal_date,price_date,price_date_source,current_price_date,history_status,ticker,company,signal_type,signal_price,current_price,days_since_signal,trading_sessions_since_signal,return_pct,return_5d_pct,return_20d_pct,return_60d_pct,last_checked,openai_score_at_signal,openai_classification_at_signal
2026-06-23,2026-06-23,inferred_from_legacy_signal_date,2026-09-11,refreshed,REA.AX,REA Group,near_miss,131.52,154.42,82.0,58.0,18.57,5.83,24.75,,2026-09-13,,not_run
2026-06-23,2026-06-23,inferred_from_legacy_signal_date,2026-09-11,refreshed,BHP.AX,BHP Group,near_miss,59.92,60.87,82.0,58.0,3.8,-0.87,-2.72,,2026-09-13,,not_run
2026-06-24,2026-06-24,inferred_from_legacy_signal_date,2026-09-11,refreshed,BHP.AX,BHP Group,near_miss,59.5,60.87,81.0,57.0,4.53,0.71,0.44,,2026-09-13,,not_run
2026-06-24,2026-06-24,inferred_from_legacy_signal_date,2026-09-11,refreshed,REA.AX,REA Group,near_miss,131.58,154.42,81.0,57.0,18.51,5.77,21.39,,2026-09-13,,not_run
2026-06-25,2026-06-25,inferred_from_legacy_signal_date,2026-09-11,refreshed,BHP.AX,BHP Group,near_miss,58.52,60.87,80.0,56.0,6.28,1.79,3.61,,2026-09-13,,not_run
2026-07-01,2026-07-01,inferred_from_legacy_signal_date,2026-09-11,refreshed,COL.AX,Coles Group,near_miss,23.35,23.23,74.0,52.0,1.05,0.26,4.41,,2026-09-13,,not_run
2026-07-02,2026-07-02,inferred_from_legacy_signal_date,2026-09-11,refreshed,WES.AX,Wesfarmers,near_miss,86.85,72.82,73.0,51.0,-14.87,4.63,2.73,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,WBC.AX,Westpac Banking Corporation,near_miss,35.7,34.22,34.0,24.0,-4.15,-1.76,-1.9,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,ARF.AX,ARENA REIT,candidate,2.56,2.21,34.0,24.0,-13.67,-8.59,-9.38,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,WBT.AX,WEEBIT NANO LTD,candidate,4.31,3.29,34.0,24.0,-23.67,3.48,-17.4,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,TVN.AX,TIVAN LTD,candidate,0.25,0.19,34.0,24.0,-20.41,-2.04,-14.29,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,DTR.AX,DATELINE RESOURCES LTD,candidate,0.12,0.07,34.0,24.0,-40.8,-12.0,-28.8,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,CDA.AX,CODAN LTD,near_miss,39.12,45.12,34.0,24.0,16.05,14.57,18.5,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,BPT.AX,BEACH ENERGY LTD,near_miss,0.82,0.88,34.0,24.0,9.19,6.06,7.95,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,CNI.AX,CENTURIA CAPITAL GROUP,near_miss,1.49,1.26,34.0,24.0,-15.1,-2.01,-14.09,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,LTR.AX,LIONTOWN LTD,near_miss,1.2,1.07,34.0,24.0,-10.83,8.33,-1.25,,2026-09-13,,not_run
2026-08-10,2026-08-10,inferred_from_legacy_signal_date,2026-09-11,refreshed,MYR.AX,MYER HOLDINGS LTD,candidate,0.22,0.19,34.0,24.0,-13.95,-2.33,-9.3,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,AOV.AX,AMOTIV LTD,candidate,6.41,6.04,33.0,23.0,-2.41,7.49,-1.28,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,ARF.AX,ARENA REIT,candidate,2.24,2.21,33.0,23.0,-1.34,4.91,2.23,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,SGH.AX,SGH LTD,candidate,41.58,37.71,33.0,23.0,-8.54,-0.26,-7.74,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,4DX.AX,4DMEDICAL LTD,candidate,4.08,3.36,33.0,23.0,-17.65,-7.84,-17.89,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,DTR.AX,DATELINE RESOURCES LTD,candidate,0.12,0.07,33.0,23.0,-40.8,-16.0,-35.2,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,WBT.AX,WEEBIT NANO LTD,candidate,4.44,3.29,33.0,23.0,-25.9,-2.25,-20.95,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,A4N.AX,ALPHA HPA LTD,near_miss,0.5,0.55,33.0,23.0,7.92,4.95,21.78,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,DVP.AX,DEVELOP GLOBAL LTD,near_miss,4.96,4.9,33.0,23.0,-1.21,-2.22,6.65,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,LTR.AX,LIONTOWN LTD,near_miss,1.18,1.07,33.0,23.0,-9.32,2.12,1.27,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,CNI.AX,CENTURIA CAPITAL GROUP,near_miss,1.47,1.26,33.0,23.0,-13.95,-1.02,-11.22,,2026-09-13,,not_run
2026-08-11,2026-08-11,inferred_from_legacy_signal_date,2026-09-11,refreshed,WBC.AX,WESTPAC BANKING CORP,near_miss,35.69,34.22,33.0,23.0,-4.12,-2.89,-3.11,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,SEK.AX,SEEK LTD,candidate,13.77,12.39,32.0,22.0,-8.42,4.36,-5.39,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,PMV.AX,PREMIER INVESTMENTS LTD,candidate,11.96,11.18,32.0,22.0,-6.52,-3.68,-5.94,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,TPW.AX,TEMPLE & WEBSTER GROUP LTD,candidate,5.34,4.54,32.0,22.0,-14.98,-22.28,-12.17,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,4DX.AX,4DMEDICAL LTD,candidate,4.12,3.36,32.0,22.0,-18.45,-8.01,-16.02,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,ARF.AX,ARENA REIT,candidate,2.34,2.21,32.0,22.0,-5.56,1.28,-4.27,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,WBT.AX,WEEBIT NANO LTD,candidate,4.7,3.29,32.0,22.0,-30.0,-11.28,-27.02,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,VSL.AX,VULCAN STEEL LTD,near_miss,5.17,5.0,32.0,22.0,-3.29,1.55,-0.19,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,SUL.AX,SUPER RETAIL GROUP LTD,near_miss,13.11,12.21,32.0,22.0,-4.52,-4.2,-2.17,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,EHL.AX,EMECO HOLDINGS LTD,near_miss,1.03,1.13,32.0,22.0,9.66,0.48,11.11,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,CPU.AX,COMPUTERSHARE LTD,near_miss,40.61,39.54,32.0,22.0,-1.05,-0.6,-1.8,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,LOV.AX,LOVISA HOLDINGS LTD,near_miss,25.01,21.63,32.0,22.0,-13.51,-8.52,-10.6,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,DXI.AX,DEXUS INDUSTRIA REIT,near_miss,2.35,2.34,32.0,22.0,-0.43,-0.43,0.43,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,IEL.AX,IDP EDUCATION LTD,near_miss,2.17,1.51,32.0,22.0,-27.71,0.0,-24.84,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,JDO.AX,JUDO CAPITAL HOLDINGS LTD,near_miss,0.93,1.0,32.0,22.0,6.99,9.14,6.99,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,WBC.AX,WESTPAC BANKING CORP,near_miss,35.37,34.22,32.0,22.0,-3.25,-2.63,-2.77,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,CQE.AX,CHARTER HALL SOCIAL INFRASTR,near_miss,2.53,2.39,32.0,22.0,-5.53,-4.35,-5.14,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,MYR.AX,MYER HOLDINGS LTD,near_miss,0.22,0.19,32.0,22.0,-15.91,-4.55,-18.18,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,SGH.AX,SGH LTD,near_miss,41.63,37.71,32.0,22.0,-8.65,-3.22,-7.95,,2026-09-13,,not_run
2026-08-12,2026-08-12,inferred_from_legacy_signal_date,2026-09-11,refreshed,AOV.AX,AMOTIV LTD,near_miss,6.64,6.04,32.0,22.0,-5.79,2.41,-4.85,,2026-09-13,,not_run_limit_reached
2026-08-13,2026-08-13,inferred_from_legacy_signal_date,2026-09-11,refreshed,4DX.AX,4DMEDICAL LTD,candidate,3.91,3.36,31.0,21.0,-14.07,2.81,-11.0,,2026-09-13,,not_run
2026-08-13,2026-08-13,inferred_from_legacy_signal_date,2026-09-11,refreshed,TPW.AX,TEMPLE & WEBSTER GROUP LTD,candidate,5.24,4.54,31.0,21.0,-13.36,-13.93,-9.73,,2026-09-13,,not_run
2026-08-13,2026-08-13,inferred_from_legacy_signal_date,2026-09-11,refreshed,ARF.AX,ARENA REIT,candidate,2.33,2.21,31.0,21.0,-5.15,3.86,-3.0,,2026-09-13,,not_run
